employee_id,role,country,region,tenure_years
E00061,Sales Rep,Japan,APAC,11.0
E00062,Medical Manager,Brazil,Americas,2.7
E00063,MSL,Brazil,Americas,6.7
E00064,Sales Rep,Japan,APAC,5.4
E00065,Sales Rep,United States,Americas,8.4
E00066,Market Access,Brazil,Americas,9.2
E00067,Sales Rep,Japan,APAC,4.6
E00068,Sales Rep,Brazil,Americas,2.2
E00069,Regional Manager,Japan,APAC,5.9
E00070,Sales Rep,Italy,EMEA,2.5
E00071,MSL,Brazil,Americas,10.5
E00072,MSL,Germany,EMEA,4.9
E00073,MSL,Mexico,Americas,3.4
E00074,Sales Rep,Canada,Americas,5.1
E00075,MSL,Brazil,Americas,0.5
E00076,Market Access,Japan,APAC,1.6
E00077,Sales Rep,Germany,EMEA,8.1
E00078,Sales Rep,Canada,Americas,2.5
E00079,Sales Rep,Brazil,Americas,1.4
E00080,Sales Rep,United States,Americas,6.1
E00081,Regional Manager,Japan,APAC,8.1
E00082,Sales Rep,France,EMEA,6.7
E00083,Sales Rep,United States,Americas,7.5
E00084,MSL,India,APAC,2.2
E00085,Sales Rep,Mexico,Americas,0.2
E00086,MSL,Brazil,Americas,9.0
E00087,MSL,Germany,EMEA,3.5
E00088,Medical Manager,France,EMEA,3.7
E00089,Medical Manager,Canada,Americas,8.5
E00090,Sales Rep,United Kingdom,EMEA,6.2
E00091,Medical Manager,Mexico,Americas,5.9
E00092,Sales Rep,Brazil,Americas,11.0
E00093,Sales Rep,Mexico,Americas,2.6
E00094,Sales Rep,Canada,Americas,7.3
E00095,Sales Rep,France,EMEA,4.7
E00096,Sales Rep,United Kingdom,EMEA,5.3
E00097,Sales Rep,Japan,APAC,9.1
E00098,Sales Rep,France,EMEA,6.0
E00099,MSL,France,EMEA,6.1
E00100,Medical Manager,Italy,EMEA,7.7
E00101,MSL,United Kingdom,EMEA,3.4
E00102,Medical Manager,United Kingdom,EMEA,2.0
E00103,MSL,United Kingdom,EMEA,1.4
E00104,Sales Rep,Germany,EMEA,0.1
E00105,Sales Rep,Germany,EMEA,10.7
E00106,Regional Manager,France,EMEA,1.2
E00107,Sales Rep,Japan,APAC,3.8
E00108,Sales Rep,Mexico,Americas,3.7
E00109,Regional Manager,Japan,APAC,5.4
E00110,MSL,Canada,Americas,6.9
E00111,Sales Rep,Mexico,Americas,7.1
E00112,Sales Rep,Brazil,Americas,2.8
E00113,Sales Rep,Germany,EMEA,4.0
E00114,MSL,France,EMEA,5.3
E00115,Sales Rep,Brazil,Americas,3.8
E00116,Market Access,France,EMEA,9.3
E00117,MSL,India,APAC,6.0
E00118,Sales Rep,Germany,EMEA,6.7
E00119,Medical Manager,Japan,APAC,6.5
E00120,Sales Rep,United States,Americas,8.0
E00121,Medical Manager,United States,Americas,5.0
E00122,MSL,United Kingdom,EMEA,0.6
E00123,Sales Rep,Japan,APAC,5.7
E00124,Sales Rep,Brazil,Americas,2.5
E00125,MSL,Brazil,Americas,2.9
E00126,Medical Manager,Germany,EMEA,6.3
E00127,Sales Rep,Canada,Americas,8.2
E00128,Sales Rep,Italy,EMEA,4.6
E00129,Sales Rep,Mexico,Americas,5.4
E00130,Medical Manager,France,EMEA,9.6
E00131,Regional Manager,Brazil,Americas,5.2
E00132,Sales Rep,Mexico,Americas,12.3
E00133,Medical Manager,United Kingdom,EMEA,6.2
E00134,Sales Rep,Canada,Americas,0.1
E00135,Sales Rep,Canada,Americas,6.8
E00136,Medical Manager,Canada,Americas,5.6
E00137,Sales Rep,United Kingdom,EMEA,8.4
E00138,Market Access,Italy,EMEA,6.5
E00139,Regional Manager,France,EMEA,4.1
E00140,Sales Rep,United Kingdom,EMEA,0.8
E00141,Regional Manager,Germany,EMEA,3.9
E00142,Regional Manager,United Kingdom,EMEA,1.9
E00143,Sales Rep,Japan,APAC,2.8
E00144,Sales Rep,Canada,Americas,6.3
E00145,Sales Rep,Germany,EMEA,9.5
E00146,Market Access,Mexico,Americas,5.7
E00147,Sales Rep,India,APAC,0.9
E00148,Sales Rep,Italy,EMEA,5.8
E00149,Sales Rep,Mexico,Americas,8.1
E00150,MSL,Germany,EMEA,2.7
E00151,Medical Manager,Japan,APAC,4.1
E00152,MSL,Brazil,Americas,4.5
E00153,Sales Rep,United States,Americas,2.1
E00154,Sales Rep,Japan,APAC,6.4
E00155,MSL,Brazil,Americas,4.1
E00156,MSL,Brazil,Americas,5.8
E00157,Sales Rep,Japan,APAC,1.8
E00158,Sales Rep,India,APAC,3.2
E00159,Sales Rep,India,APAC,6.7
E00160,Regional Manager,Germany,EMEA,3.4
E00161,Regional Manager,Japan,APAC,9.7
E00162,Sales Rep,Mexico,Americas,3.3
E00163,MSL,Japan,APAC,5.2
E00164,Sales Rep,India,APAC,7.3
E00165,Sales Rep,Germany,EMEA,0.2
E00166,Sales Rep,India,APAC,0.1
E00167,Market Access,Canada,Americas,0.1
E00168,Sales Rep,France,EMEA,8.3
E00169,Sales Rep,Italy,EMEA,2.8
E00170,Medical Manager,Canada,Americas,12.2
E00171,Sales Rep,India,APAC,2.8
E00172,MSL,India,APAC,5.1
E00173,Medical Manager,Brazil,Americas,9.1
E00174,MSL,Canada,Americas,10.5
E00175,Sales Rep,India,APAC,10.7
E00176,Market Access,Canada,Americas,8.1
E00177,MSL,Japan,APAC,7.6
E00178,Medical Manager,France,EMEA,6.3
E00179,Sales Rep,Germany,EMEA,6.8
E00180,MSL,Japan,APAC,2.8
E00181,Sales Rep,France,EMEA,2.0
E00182,Medical Manager,United States,Americas,4.5
E00183,MSL,Japan,APAC,4.0
E00184,Sales Rep,France,EMEA,3.1
E00185,Sales Rep,Mexico,Americas,6.6
E00186,MSL,Canada,Americas,7.4
E00187,MSL,Germany,EMEA,4.8
E00188,Medical Manager,United Kingdom,EMEA,8.9
E00189,Sales Rep,Japan,APAC,1.1
E00190,MSL,Japan,APAC,3.9
E00191,MSL,Brazil,Americas,2.3
E00192,MSL,United Kingdom,EMEA,0.1
E00193,Market Access,United States,Americas,4.3
E00194,Sales Rep,Germany,EMEA,4.1
E00195,Regional Manager,Mexico,Americas,9.0
E00196,MSL,Japan,APAC,6.4
E00197,Sales Rep,United States,Americas,1.4
E00198,Regional Manager,Brazil,Americas,10.1
E00199,MSL,France,EMEA,8.2
E00200,Sales Rep,France,EMEA,6.2
E00201,MSL,India,APAC,3.8
E00202,MSL,Germany,EMEA,1.6
E00203,MSL,Japan,APAC,3.4
E00204,MSL,United Kingdom,EMEA,7.8
E00205,MSL,Japan,APAC,10.2
E00206,MSL,France,EMEA,9.1
E00207,Sales Rep,India,APAC,3.0
E00208,Market Access,Canada,Americas,1.1
E00209,MSL,Canada,Americas,4.9
E00210,Sales Rep,Brazil,Americas,0.1
E00211,MSL,United States,Americas,5.5
E00212,Medical Manager,France,EMEA,4.1
E00213,Medical Manager,Mexico,Americas,3.1
E00214,Sales Rep,Canada,Americas,0.1
E00215,Sales Rep,Mexico,Americas,6.0
E00216,Sales Rep,India,APAC,2.9
E00217,Sales Rep,Mexico,Americas,1.0
E00218,MSL,United States,Americas,0.1
E00219,Sales Rep,Italy,EMEA,4.4
E00220,MSL,Brazil,Americas,9.8
E00221,Regional Manager,Germany,EMEA,9.5
E00222,Sales Rep,Germany,EMEA,3.1
E00223,MSL,United States,Americas,2.7
E00224,MSL,United States,Americas,5.9
E00225,MSL,India,APAC,1.5
E00226,Sales Rep,India,APAC,5.4
E00227,MSL,Japan,APAC,6.8
E00228,Sales Rep,Mexico,Americas,8.2
E00229,Sales Rep,India,APAC,4.2
E00230,Medical Manager,Germany,EMEA,3.9
E00231,MSL,Germany,EMEA,1.9
E00232,Sales Rep,Italy,EMEA,2.0
E00233,Medical Manager,United Kingdom,EMEA,3.8
E00234,Sales Rep,Mexico,Americas,5.6
E00235,Sales Rep,Brazil,Americas,7.2
E00236,Sales Rep,India,APAC,2.1
E00237,Medical Manager,Germany,EMEA,9.0
E00238,Sales Rep,United Kingdom,EMEA,3.7
E00239,Sales Rep,Brazil,Americas,4.4
E00240,Sales Rep,Canada,Americas,2.3
E00241,MSL,Italy,EMEA,0.1
E00242,MSL,Germany,EMEA,7.2
E00243,Sales Rep,Canada,Americas,6.7
E00244,Sales Rep,Mexico,Americas,3.7
E00245,Medical Manager,Canada,Americas,4.7
E00246,Sales Rep,Japan,APAC,6.0
E00247,Medical Manager,Mexico,Americas,0.1
E00248,MSL,Brazil,Americas,2.9
E00249,Sales Rep,Brazil,Americas,6.9
E00250,Sales Rep,United Kingdom,EMEA,0.7
E00251,Sales Rep,India,APAC,5.4
E00252,MSL,Canada,Americas,0.4
E00253,Sales Rep,United Kingdom,EMEA,5.9
E00254,MSL,United States,Americas,4.4
E00255,Regional Manager,United Kingdom,EMEA,0.1
E00256,MSL,Canada,Americas,8.0
E00257,Sales Rep,Japan,APAC,2.3
E00258,Medical Manager,United Kingdom,EMEA,2.1
E00259,Regional Manager,India,APAC,5.1
E00260,MSL,United States,Americas,7.9
E00261,MSL,Mexico,Americas,1.5
E00262,Sales Rep,Italy,EMEA,4.7
E00263,Medical Manager,Brazil,Americas,5.8
E00264,Sales Rep,India,APAC,6.6
E00265,MSL,Germany,EMEA,5.0
E00266,Sales Rep,India,APAC,3.4
E00267,MSL,Brazil,Americas,2.0
E00268,MSL,Brazil,Americas,4.8
E00269,Sales Rep,Italy,EMEA,1.3
E00270,Sales Rep,Germany,EMEA,0.1
E00271,Sales Rep,United States,Americas,5.8
E00272,MSL,Brazil,Americas,7.2
E00273,Market Access,United Kingdom,EMEA,0.1
E00274,MSL,India,APAC,1.5
E00275,Sales Rep,United States,Americas,6.4
E00276,Sales Rep,Brazil,Americas,10.7
E00277,Medical Manager,Brazil,Americas,4.6
E00278,MSL,Brazil,Americas,2.3
E00279,MSL,France,EMEA,4.0
E00280,Market Access,United States,Americas,8.6
E00281,Medical Manager,Japan,APAC,2.6
E00282,Regional Manager,United States,Americas,2.1
E00283,Sales Rep,Germany,EMEA,3.1
E00284,Regional Manager,Brazil,Americas,1.6
E00285,Regional Manager,India,APAC,4.9
E00286,Sales Rep,Germany,EMEA,9.4
E00287,Sales Rep,France,EMEA,5.5
E00288,MSL,Canada,Americas,3.7
E00289,MSL,Germany,EMEA,3.6
E00290,Regional Manager,Canada,Americas,0.1
E00291,Sales Rep,United Kingdom,EMEA,7.1
E00292,Sales Rep,Germany,EMEA,4.3
E00293,Medical Manager,Germany,EMEA,4.0
E00294,Sales Rep,Mexico,Americas,14.1
E00295,MSL,Canada,Americas,5.4
E00296,Regional Manager,Italy,EMEA,2.2
E00297,Sales Rep,Italy,EMEA,3.2
E00298,Sales Rep,France,EMEA,7.9
E00299,Sales Rep,Brazil,Americas,4.8
E00300,Regional Manager,Brazil,Americas,0.2
E00301,MSL,United States,Americas,7.3
E00302,MSL,Mexico,Americas,2.5
E00303,Sales Rep,Germany,EMEA,10.1
E00304,MSL,India,APAC,7.7
E00305,Market Access,Italy,EMEA,3.2
E00306,Sales Rep,France,EMEA,8.3
E00307,Medical Manager,Mexico,Americas,4.7
E00308,MSL,United States,Americas,7.1
E00309,Sales Rep,Canada,Americas,6.0
E00310,MSL,United States,Americas,2.0
E00311,Sales Rep,Italy,EMEA,2.6
E00312,Sales Rep,India,APAC,7.6
E00313,Regional Manager,Mexico,Americas,3.5
E00314,MSL,Germany,EMEA,3.3
E00315,Regional Manager,Italy,EMEA,1.6
E00316,Sales Rep,India,APAC,5.8
E00317,Regional Manager,India,APAC,10.7
E00318,Sales Rep,Brazil,Americas,1.3
E00319,Sales Rep,Italy,EMEA,4.6
E00320,Regional Manager,France,EMEA,8.7
E00321,Regional Manager,Mexico,Americas,4.3
E00322,Medical Manager,India,APAC,5.9
E00323,Regional Manager,Brazil,Americas,1.3
E00324,MSL,Japan,APAC,5.8
E00325,Regional Manager,India,APAC,3.9
E00326,MSL,Mexico,Americas,7.5
E00327,Medical Manager,Germany,EMEA,8.1
E00328,MSL,Brazil,Americas,12.3
E00329,Sales Rep,Mexico,Americas,6.2
E00330,MSL,United Kingdom,EMEA,5.5
E00331,MSL,Japan,APAC,5.1
E00332,MSL,United States,Americas,3.4
E00333,MSL,France,EMEA,5.5
E00334,Sales Rep,France,EMEA,3.6
E00335,MSL,Italy,EMEA,5.0
E00336,MSL,Mexico,Americas,8.5
E00337,Sales Rep,Germany,EMEA,1.5
E00338,MSL,United Kingdom,EMEA,7.9
E00339,Medical Manager,France,EMEA,8.5
E00340,Medical Manager,India,APAC,4.1
E00341,MSL,Mexico,Americas,0.1
E00342,Sales Rep,France,EMEA,2.7
E00343,Medical Manager,Canada,Americas,8.4
E00344,Sales Rep,Brazil,Americas,4.4
E00345,Sales Rep,India,APAC,1.5
E00346,Regional Manager,India,APAC,3.0
E00347,Sales Rep,Canada,Americas,7.0
E00348,Regional Manager,United States,Americas,6.1
E00349,MSL,Canada,Americas,3.8
E00350,Market Access,Germany,EMEA,3.4
E00351,Sales Rep,Italy,EMEA,3.3
E00352,Sales Rep,France,EMEA,1.7
E00353,Sales Rep,Canada,Americas,9.3
E00354,Sales Rep,Brazil,Americas,3.5
E00355,Sales Rep,Mexico,Americas,8.2
E00356,Sales Rep,Canada,Americas,9.1
E00357,Sales Rep,United Kingdom,EMEA,7.5
E00358,Medical Manager,Japan,APAC,3.2
E00359,Sales Rep,Japan,APAC,5.7
E00360,Sales Rep,Italy,EMEA,4.4
E00361,Sales Rep,Brazil,Americas,1.8
E00362,Sales Rep,Japan,APAC,5.5
E00363,Regional Manager,India,APAC,1.0
E00364,Sales Rep,Canada,Americas,8.1
E00365,MSL,Brazil,Americas,3.1
E00366,Sales Rep,Italy,EMEA,5.1
E00367,Medical Manager,India,APAC,5.3
E00368,Sales Rep,United States,Americas,3.7
E00369,Sales Rep,Brazil,Americas,6.3
E00370,Regional Manager,Japan,APAC,3.1
E00371,MSL,Mexico,Americas,7.1
E00372,Sales Rep,Japan,APAC,0.5
E00373,Sales Rep,Japan,APAC,4.9
E00374,Market Access,Mexico,Americas,10.3
E00375,MSL,India,APAC,1.5
E00376,MSL,India,APAC,2.5
E00377,Sales Rep,Canada,Americas,6.0
E00378,MSL,Germany,EMEA,5.0
E00379,Sales Rep,United States,Americas,5.6
E00380,MSL,Italy,EMEA,6.0
E00381,Market Access,Mexico,Americas,6.4
E00382,MSL,Canada,Americas,7.8
E00383,Sales Rep,United States,Americas,5.7
E00384,MSL,United Kingdom,EMEA,3.8
E00385,Market Access,Brazil,Americas,6.5
E00386,Sales Rep,Mexico,Americas,10.2
E00387,Sales Rep,United Kingdom,EMEA,4.1
E00388,Sales Rep,France,EMEA,1.6
E00389,MSL,United Kingdom,EMEA,7.8
E00390,Regional Manager,Mexico,Americas,4.1
E00391,Sales Rep,France,EMEA,0.1
E00392,Sales Rep,United Kingdom,EMEA,7.0
E00393,Sales Rep,Brazil,Americas,2.9
E00394,Market Access,United States,Americas,4.2
E00395,Regional Manager,Japan,APAC,5.5
E00396,MSL,Brazil,Americas,5.1
E00397,Sales Rep,India,APAC,6.6
E00398,MSL,Brazil,Americas,3.2
E00399,MSL,Brazil,Americas,6.0
E00400,Regional Manager,India,APAC,3.7
E00401,MSL,Mexico,Americas,6.7
E00402,Medical Manager,Japan,APAC,6.3
E00403,MSL,France,EMEA,1.7
E00404,Sales Rep,Japan,APAC,7.8
E00405,Sales Rep,France,EMEA,2.9
E00406,Sales Rep,France,EMEA,6.9
E00407,Sales Rep,Brazil,Americas,5.6
E00408,Sales Rep,Japan,APAC,10.0
E00409,Sales Rep,Japan,APAC,3.8
E00410,Market Access,Mexico,Americas,3.5
E00411,MSL,United Kingdom,EMEA,4.4
E00412,Sales Rep,Japan,APAC,3.6
E00413,Sales Rep,France,EMEA,6.9
E00414,Sales Rep,Germany,EMEA,0.1
E00415,Sales Rep,Brazil,Americas,1.3
E00416,MSL,France,EMEA,1.3
E00417,MSL,Brazil,Americas,7.4
E00418,Sales Rep,Canada,Americas,9.6
E00419,MSL,United States,Americas,4.2
E00420,Sales Rep,Canada,Americas,4.0
E00421,Sales Rep,Germany,EMEA,4.7
E00422,MSL,Japan,APAC,8.0
E00423,Sales Rep,Mexico,Americas,1.7
E00424,Sales Rep,Germany,EMEA,5.2
E00425,Regional Manager,Canada,Americas,7.4
E00426,Medical Manager,Germany,EMEA,6.0
E00427,Sales Rep,France,EMEA,5.1
E00428,Medical Manager,Japan,APAC,7.5
E00429,MSL,Japan,APAC,0.1
E00430,MSL,Brazil,Americas,6.5
E00431,Sales Rep,United States,Americas,2.5
E00432,MSL,United States,Americas,0.1
E00433,Sales Rep,Japan,APAC,6.0
E00434,Sales Rep,Canada,Americas,8.6
E00435,Medical Manager,United States,Americas,4.1
E00436,Sales Rep,Brazil,Americas,7.4
E00437,MSL,United States,Americas,9.3
E00438,Market Access,United Kingdom,EMEA,8.4
E00439,Sales Rep,India,APAC,9.4
E00440,Sales Rep,Brazil,Americas,6.7
E00441,Sales Rep,India,APAC,4.7
E00442,Sales Rep,Italy,EMEA,0.1
E00443,Sales Rep,India,APAC,3.8
E00444,Sales Rep,France,EMEA,2.0
E00445,Medical Manager,Japan,APAC,11.0
E00446,Regional Manager,Brazil,Americas,4.0
E00447,Sales Rep,Canada,Americas,4.9
E00448,Medical Manager,Germany,EMEA,6.2
E00449,Sales Rep,United Kingdom,EMEA,4.6
E00450,Regional Manager,Japan,APAC,9.6
E00451,Sales Rep,Japan,APAC,2.6
E00452,Sales Rep,Canada,Americas,5.1
E00453,Medical Manager,India,APAC,2.3
E00454,Sales Rep,Canada,Americas,0.5
E00455,Sales Rep,India,APAC,2.7
E00456,Sales Rep,United Kingdom,EMEA,4.4
E00457,MSL,Japan,APAC,3.2
E00458,Regional Manager,France,EMEA,2.4
E00459,MSL,United Kingdom,EMEA,0.3
E00460,Sales Rep,United Kingdom,EMEA,4.3
E00461,Sales Rep,Japan,APAC,0.1
E00462,Sales Rep,Japan,APAC,6.8
E00463,MSL,France,EMEA,4.7
E00464,Medical Manager,Brazil,Americas,0.1
E00465,Sales Rep,United Kingdom,EMEA,3.6
E00466,Sales Rep,Canada,Americas,2.2
E00467,Regional Manager,Germany,EMEA,5.5
E00468,Sales Rep,United Kingdom,EMEA,8.5
E00469,Sales Rep,India,APAC,0.1
E00470,MSL,Japan,APAC,4.8
E00471,Medical Manager,Canada,Americas,4.0
E00472,Sales Rep,Mexico,Americas,6.5
E00473,Medical Manager,Germany,EMEA,5.1
E00474,Sales Rep,United States,Americas,2.2
E00475,Sales Rep,Japan,APAC,3.5
E00476,Medical Manager,France,EMEA,2.1
E00477,Sales Rep,United States,Americas,7.7
E00478,Sales Rep,Brazil,Americas,4.6
E00479,Medical Manager,Japan,APAC,10.2
E00480,MSL,Japan,APAC,4.3
E00481,Sales Rep,Brazil,Americas,2.4
E00482,Sales Rep,France,EMEA,0.1
E00483,MSL,Germany,EMEA,0.1
E00484,Sales Rep,Canada,Americas,0.1
E00485,Sales Rep,Germany,EMEA,5.3
E00486,Sales Rep,United States,Americas,6.0
E00487,Sales Rep,Germany,EMEA,0.1
E00488,MSL,Japan,APAC,7.2
E00489,Regional Manager,India,APAC,3.1
E00490,MSL,Canada,Americas,4.9
E00491,MSL,Brazil,Americas,9.3
E00492,Sales Rep,Canada,Americas,7.2
E00493,Medical Manager,India,APAC,3.7
E00494,Sales Rep,Germany,EMEA,1.8
E00495,Sales Rep,United States,Americas,0.1
E00496,MSL,United States,Americas,2.3
E00497,Regional Manager,Italy,EMEA,3.9
E00498,MSL,Italy,EMEA,1.5
E00499,MSL,France,EMEA,4.1
E00500,Medical Manager,India,APAC,4.7
E00501,Sales Rep,United Kingdom,EMEA,3.8
E00502,Medical Manager,Brazil,Americas,2.5
E00503,MSL,France,EMEA,5.0
E00504,Sales Rep,United States,Americas,5.8
E00505,MSL,France,EMEA,1.2
E00506,Market Access,Japan,APAC,8.7
E00507,Sales Rep,Japan,APAC,4.2
E00508,MSL,Japan,APAC,4.6
E00509,Sales Rep,Italy,EMEA,6.6
E00510,Sales Rep,India,APAC,5.2
E00511,Sales Rep,United States,Americas,7.4
E00512,Market Access,India,APAC,5.4
E00513,MSL,Japan,APAC,2.7
E00514,MSL,Canada,Americas,5.6
E00515,Sales Rep,Brazil,Americas,1.1
E00516,MSL,India,APAC,4.8
E00517,MSL,Canada,Americas,4.4
E00518,Sales Rep,Japan,APAC,3.9
E00519,MSL,United States,Americas,4.1
E00520,MSL,India,APAC,0.1
E00521,Sales Rep,United Kingdom,EMEA,2.9
E00522,Regional Manager,India,APAC,4.8
E00523,MSL,Germany,EMEA,5.0
E00524,Sales Rep,Mexico,Americas,1.4
E00525,Sales Rep,India,APAC,8.3
E00526,MSL,Brazil,Americas,1.9
E00527,Sales Rep,Japan,APAC,7.4
E00528,MSL,Italy,EMEA,5.8
E00529,Regional Manager,Canada,Americas,2.6
E00530,Regional Manager,Mexico,Americas,9.8
E00531,Sales Rep,Japan,APAC,0.9
E00532,MSL,Brazil,Americas,7.3
E00533,Market Access,India,APAC,7.5
E00534,Medical Manager,Mexico,Americas,2.5
E00535,MSL,France,EMEA,8.7
E00536,MSL,Brazil,Americas,3.7
E00537,MSL,Germany,EMEA,5.4
E00538,Sales Rep,France,EMEA,5.3
E00539,MSL,France,EMEA,4.1
E00540,Medical Manager,Germany,EMEA,6.9
E00541,Sales Rep,Japan,APAC,6.9
E00542,MSL,Italy,EMEA,0.1
E00543,Sales Rep,United States,Americas,8.4
E00544,Sales Rep,Brazil,Americas,0.1
E00545,Sales Rep,France,EMEA,7.6
E00546,Sales Rep,United Kingdom,EMEA,7.9
E00547,Sales Rep,Germany,EMEA,1.2
E00548,MSL,Germany,EMEA,3.3
E00549,MSL,Germany,EMEA,1.2
E00550,Sales Rep,Japan,APAC,3.9
E00551,Medical Manager,Mexico,Americas,3.6
E00552,Medical Manager,United States,Americas,6.8
E00553,Sales Rep,United Kingdom,EMEA,8.4
E00554,Regional Manager,France,EMEA,8.7
E00555,MSL,United Kingdom,EMEA,2.8
E00556,MSL,Germany,EMEA,3.9
E00557,Medical Manager,Japan,APAC,0.1
E00558,Market Access,Germany,EMEA,2.1
E00559,MSL,Canada,Americas,7.4
E00560,Medical Manager,Germany,EMEA,9.3
E00561,MSL,United States,Americas,0.8
E00562,MSL,France,EMEA,2.7
E00563,Regional Manager,Italy,EMEA,4.4
E00564,MSL,France,EMEA,5.3
E00565,Medical Manager,Japan,APAC,2.1
E00566,MSL,Japan,APAC,5.8
E00567,Sales Rep,Germany,EMEA,3.1
E00568,Sales Rep,Mexico,Americas,4.5
E00569,Sales Rep,France,EMEA,6.1
E00570,Sales Rep,Italy,EMEA,4.5
E00571,Medical Manager,India,APAC,3.2
E00572,Sales Rep,United States,Americas,4.2
E00573,Sales Rep,Japan,APAC,4.2
E00574,Sales Rep,United Kingdom,EMEA,3.4
E00575,Sales Rep,Brazil,Americas,3.7
E00576,Sales Rep,India,APAC,9.3
E00577,Sales Rep,Italy,EMEA,6.2
E00578,Sales Rep,United Kingdom,EMEA,3.6
E00579,Sales Rep,Italy,EMEA,6.6
E00580,Sales Rep,India,APAC,3.5
E00581,Regional Manager,India,APAC,8.0
E00582,Medical Manager,United Kingdom,EMEA,5.6
E00583,Regional Manager,Mexico,Americas,4.2
E00584,Sales Rep,Japan,APAC,5.8
E00585,MSL,United States,Americas,0.1
E00586,Regional Manager,United Kingdom,EMEA,1.1
E00587,Sales Rep,Germany,EMEA,0.9
E00588,Market Access,India,APAC,4.9
E00589,Sales Rep,France,EMEA,9.7
E00590,Medical Manager,India,APAC,11.2
E00591,Regional Manager,France,EMEA,6.4
E00592,Market Access,United States,Americas,6.0
E00593,Market Access,United Kingdom,EMEA,0.1
E00594,Sales Rep,India,APAC,2.9
E00595,Regional Manager,United Kingdom,EMEA,2.1
E00596,Regional Manager,Mexico,Americas,2.6
E00597,Medical Manager,United States,Americas,4.0
E00598,MSL,United Kingdom,EMEA,3.1
E00599,MSL,France,EMEA,0.1
E00600,MSL,Japan,APAC,6.7
E00601,MSL,United Kingdom,EMEA,1.3
E00602,MSL,Canada,Americas,5.2
E00603,Regional Manager,Mexico,Americas,10.7
E00604,Medical Manager,India,APAC,1.7
E00605,Sales Rep,Brazil,Americas,0.1
E00606,Sales Rep,United Kingdom,EMEA,3.6
E00607,MSL,France,EMEA,7.8
E00608,Sales Rep,United Kingdom,EMEA,10.4
E00609,MSL,Germany,EMEA,0.8
E00610,MSL,Brazil,Americas,6.0
E00611,Sales Rep,France,EMEA,3.1
E00612,MSL,United Kingdom,EMEA,4.2
E00613,Medical Manager,Italy,EMEA,12.4
E00614,MSL,Brazil,Americas,0.1
E00615,Sales Rep,United Kingdom,EMEA,5.3
E00616,Medical Manager,United States,Americas,5.9
E00617,MSL,Brazil,Americas,7.8
E00618,Sales Rep,Mexico,Americas,4.8
E00619,Sales Rep,Germany,EMEA,5.4
E00620,MSL,Canada,Americas,3.3
E00621,Sales Rep,Japan,APAC,5.3
E00622,Medical Manager,Italy,EMEA,3.5
E00623,MSL,Canada,Americas,6.4
