interaction_id,interaction_date,country,region,business_unit,interaction_type,stakeholder_id,employee_id,declared_purpose,duration_minutes
I000027,2025-05-03,ITA,EMEA,Respiratory,Speaker Program,S01563,E00447,Market access discussion,54.0
I000028,2025-03-25,FRA,EMEA,Vaccines,1:1 Meeting,S00869,E00754,Market access discussion,42.0
I000029,2025-03-27,India,APAC,Specialty,1:1 Meeting,S00933,E00967,Training and best practice sharing,24.0
I000030,2024-08-02,JPN,APAC,Oncology,1:1 Meeting,S01201,E00998,Training and best practice sharing,33.0
I000031,2025-02-06,FRA,EMEA,Respiratory,1:1 Meeting,S00784,E00601,Scientific exchange on clinical data,34.0
I000032,2025-02-07,Japan,APAC,Primary Care,Group Meeting,S00551,E00767,Follow-up,88.0
I000033,2024-01-29,United States of America,Americas,Oncology,1:1 Meeting,S01341,E00296,Advisory board discussion on unmet needs,34.0
I000034,2024-12-26,CAN,Americas,Oncology,1:1 Meeting,S00436,E00191,Training and best practice sharing,28.0
I000035,2025-01-26,Great Britain,EMEA,Vaccines,Group Meeting,S00341,E00082,Congress meeting and follow-up,60.0
I000036,2024-01-17,India,APAC,Vaccines,Speaker Program,S00545,E00770,Follow-up,66.0
I000037,2024-11-17,IT,EMEA,Respiratory,Congress/Conference,S01560,E00273,Speaker program educational session,183.0
I000038,2025-04-18,CAN,Americas,Specialty,Congress/Conference,S01363,E00409,,94.0
I000039,2025-04-12,ITA,EMEA,Specialty,Speaker Program,S00252,E00890,Product information discussion (on-label),31.0
I000040,2024-07-22,GB,EMEA,Respiratory,1:1 Meeting,S00385,E00004,Meeting,20.0
I000041,2025-01-21,IND,APAC,Specialty,1:1 Meeting,S00820,E00757,Product information discussion (on-label),29.0
I000042,2024-07-26,Great Britain,EMEA,Oncology,1:1 Meeting,S00400,E00730,Congress meeting and follow-up,14.0
I000043,2025-05-28,Japan,APAC,Primary Care,Group Meeting,S01124,E00896,Congress meeting and follow-up,79.0
I000044,2024-01-22,U.S.,Americas,Vaccines,Speaker Program,S01466,E00030,Advisory board discussion on unmet needs,49.0
I000045,2024-06-02,CAN,Americas,Vaccines,1:1 Meeting,S01095,E00649,Congress meeting and follow-up,22.0
I000046,2025-05-09,USA,Americas,Primary Care,1:1 Meeting,S01470,E00761,Training and best practice sharing,31.0
I000047,2024-08-17,DE,EMEA,Vaccines,1:1 Meeting,S00229,E00092,Congress meeting and follow-up,28.0
I000048,2024-05-27,CAN,Americas,Respiratory,Group Meeting,S00637,E00064,Training and best practice sharing,44.0
I000049,2024-04-17,CA,Americas,Specialty,1:1 Meeting,S01233,E00605,Advisory board discussion on unmet needs,20.0
I000050,2025-02-17,GB,EMEA,Oncology,1:1 Meeting,S00302,E00616,Scientific exchange on clinical data,29.0
I000051,2024-11-04,BR,Americas,Vaccines,1:1 Meeting,S01737,E00724,Product information discussion (on-label),38.0
I000052,2025-04-25,US,Americas,Specialty,Group Meeting,S01660,E00231,Product information discussion (on-label),35.0
I000053,2024-12-17,CAN,Americas,Specialty,Congress/Conference,S01123,E00402,Product information discussion (on-label),53.0
I000054,2024-04-09,DEU,EMEA,Specialty,1:1 Meeting,S01123,E00404,Scientific exchange on clinical data,39.0
I000055,2024-02-28,France,EMEA,Specialty,1:1 Meeting,S00905,E00713,Advisory board discussion on unmet needs,40.0
I000056,2024-03-05,FR,EMEA,Respiratory,Speaker Program,S01609,E00880,Scientific exchange on clinical data,98.0
I000057,2024-06-02,USA,Americas,Vaccines,Speaker Program,S01056,E00666,Advisory board discussion on unmet needs,157.0
I000058,2024-11-10,ITA,EMEA,Primary Care,1:1 Meeting,S00354,E00669,Scientific exchange on clinical data,19.0
I000059,2024-09-04,ITA,EMEA,Oncology,1:1 Meeting,S00246,E00120,Scientific exchange on clinical data,47.0
I000060,2024-01-25,BRA,Americas,Vaccines,Group Meeting,S00371,E00394,Scientific exchange on clinical data,75.0
I000061,2024-10-10,United Kingdom,EMEA,Respiratory,Advisory Board,S01665,E00718,Product information discussion (on-label),92.0
I000062,2024-01-07,Japan,APAC,Specialty,Congress/Conference,S00241,E00186,Speaker program educational session,
I000063,2024-05-16,MEX,Americas,Specialty,Speaker Program,S00526,E00872,Congress meeting and follow-up,108.0
I000064,2025-02-23,US,Americas,Primary Care,Speaker Program,S01064,E00927,Market access discussion,88.0
I000065,2024-03-13,Mexico,Americas,Respiratory,Advisory Board,S00203,E00679,Training and best practice sharing,155.0
I000066,2024-09-18,MX,Americas,Specialty,1:1 Meeting,S00569,E00132,Market access discussion,34.0
I000067,2024-06-24,BRA,Americas,Primary Care,1:1 Meeting,S01423,E00147,Market access discussion,29.0
I000068,2024-02-23,IT,EMEA,Respiratory,1:1 Meeting,S00860,E00842,Discussed topics,52.0
I000069,2025-02-22,USA,Americas,Vaccines,1:1 Meeting,S00834,E00068,Advisory board discussion on unmet needs,33.0
I000070,2025-01-13,DE,EMEA,Vaccines,1:1 Meeting,S00456,E00388,Speaker program educational session,33.0
I000071,2024-03-13,US,Americas,Primary Care,1:1 Meeting,S01773,E00289,Training and best practice sharing,32.0
I000072,2024-02-10,Japan,APAC,Respiratory,1:1 Meeting,S01741,E00413,Advisory board discussion on unmet needs,
I000073,2024-06-18,IT,EMEA,Primary Care,Speaker Program,S01486,E00655,Market access discussion,59.0
I000074,2024-02-08,Canada,Americas,Oncology,1:1 Meeting,S00565,E00976,Speaker program educational session,36.0
I000075,2025-01-03,CAN,Americas,Oncology,Group Meeting,S01732,E00093,Congress meeting and follow-up,39.0
I000076,2024-11-09,DEU,EMEA,Oncology,Group Meeting,S00022,E00986,Product information discussion (on-label),20.0
I000077,2024-06-09,United Kingdom,EMEA,Vaccines,1:1 Meeting,S01263,E00195,Market access discussion,23.0
I000078,2024-10-30,MX,Americas,Specialty,1:1 Meeting,S01565,E00537,Speaker program educational session,32.0
I000079,2025-05-17,BR,Americas,Specialty,1:1 Meeting,S00232,E00347,Scientific exchange on clinical data,34.0
I000080,2024-10-01,France,EMEA,Specialty,Speaker Program,S01293,E00583,Congress meeting and follow-up,104.0
I000081,2024-06-12,Canada,Americas,Respiratory,Group Meeting,S00118,E00365,Speaker program educational session,0.0
I000082,2025-01-21,ITA,EMEA,Vaccines,Speaker Program,S01008,E00203,,113.0
I000083,2025-05-08,DE,EMEA,Oncology,1:1 Meeting,S00613,E00374,Product information discussion (on-label),37.0
I000084,2025-01-24,US,Americas,Primary Care,Group Meeting,S00012,E00368,Advisory board discussion on unmet needs,55.0
I000085,2024-10-21,UK,EMEA,Specialty,1:1 Meeting,S00982,E00983,Training and best practice sharing,21.0
I000086,2024-07-05,FRA,EMEA,Oncology,1:1 Meeting,S01520,E00864,Advisory board discussion on unmet needs,15.0
I000087,2025-03-20,U.S.,Americas,Specialty,Speaker Program,S01700,E00351,Speaker program educational session,
I000088,2025-02-23,Germany,EMEA,Specialty,Group Meeting,S00383,E00256,Market access discussion,78.0
I000089,2024-09-08,BR,Americas,Vaccines,1:1 Meeting,S01029,E00626,Advisory board discussion on unmet needs,34.0
I000090,2025-06-13,USA,Americas,Specialty,Group Meeting,S00874,E00019,Speaker program educational session,49.0
I000091,2024-03-03,Germany,EMEA,Oncology,1:1 Meeting,S01045,E00438,Speaker program educational session,24.0
I000092,2024-07-03,France,EMEA,Vaccines,Advisory Board,S00002,E00054,Congress meeting and follow-up,68.0
I000093,2024-07-23,DE,EMEA,Oncology,1:1 Meeting,S00624,E00115,Speaker program educational session,30.0
I000094,2024-03-28,IND,APAC,Respiratory,1:1 Meeting,S00762,E00244,Advisory board discussion on unmet needs,9.0
I000095,2024-07-25,US,Americas,Respiratory,Congress/Conference,S01341,E00838,Discussed topics,161.0
I000096,2024-04-30,IND,APAC,Specialty,1:1 Meeting,S00315,E00045,Training and best practice sharing,19.0
I000097,2025-01-19,Canada,Americas,Primary Care,1:1 Meeting,S01470,E00121,Congress meeting and follow-up,45.0
I000098,2024-01-21,MEX,Americas,Specialty,1:1 Meeting,S01160,E00063,Market access discussion,30.0
I000099,2024-08-29,Canada,Americas,Specialty,1:1 Meeting,S01044,E00394,Scientific exchange on clinical data,31.0
I000100,2024-03-09,MX,Americas,Vaccines,Group Meeting,S01620,E00526,Advisory board discussion on unmet needs,63.0
I000101,2024-05-08,Mexico,Americas,Specialty,Advisory Board,S01093,E00244,Advisory board discussion on unmet needs,111.0
I000102,2024-11-07,IND,APAC,Specialty,Congress/Conference,S00431,E00548,Speaker program educational session,85.0
I000103,2025-06-18,GB,EMEA,Primary Care,Group Meeting,S00837,E00920,Training and best practice sharing,78.0
I000104,2024-02-21,United States of America,Americas,Vaccines,1:1 Meeting,S01778,E00797,Market access discussion,20.0
I000105,2024-06-01,MX,Americas,Oncology,Advisory Board,S00551,E00209,Advisory board discussion on unmet needs,148.0
I000106,2025-01-23,FR,EMEA,Oncology,Speaker Program,S00372,E00471,Market access discussion,107.0
I000107,2024-06-25,U.S.,Americas,Specialty,Group Meeting,S01675,E00404,Product information discussion (on-label),74.0
I000108,2024-04-06,United States,Americas,Respiratory,Speaker Program,S01537,E00828,Scientific exchange on clinical data,90.0
I000109,2024-07-31,United States,Americas,Vaccines,1:1 Meeting,S01285,E00615,Market access discussion,25.0
I000110,2025-02-28,Germany,EMEA,Oncology,Group Meeting,S00910,E00836,Meeting,81.0
I000111,2024-09-17,U.S.,Americas,Vaccines,Speaker Program,S00608,E00106,Scientific exchange on clinical data,119.0
I000112,2025-04-15,US,Americas,Primary Care,Advisory Board,S01402,E00394,Scientific exchange on clinical data,210.0
I000113,2025-02-17,FRA,EMEA,Respiratory,1:1 Meeting,S00739,E00946,Product information discussion (on-label),
I000114,2024-10-11,US,Americas,Oncology,Speaker Program,S01367,E00704,Product information discussion (on-label),54.0
I000115,2024-08-26,JP,APAC,Vaccines,Group Meeting,S01765,E00956,Product information discussion (on-label),39.0
I000116,2025-01-06,JP,APAC,Vaccines,1:1 Meeting,S01489,E00286,Speaker program educational session,35.0
I000117,2025-05-09,BRA,Americas,Oncology,1:1 Meeting,S01304,E00342,Congress meeting and follow-up,1.0
I000118,2024-09-03,Brazil,Americas,Respiratory,Group Meeting,S00788,E00086,Market access discussion,51.0
I000119,2025-03-25,Germany,EMEA,Vaccines,Advisory Board,S01743,E00018,Speaker program educational session,272.0
I000120,2024-10-15,FRA,EMEA,Specialty,Group Meeting,S01130,E00996,Market access discussion,63.0
I000121,2025-02-17,India,APAC,Oncology,Group Meeting,S01426,E00989,Product information discussion (on-label),54.0
I000122,2024-04-24,United States of America,Americas,Primary Care,Speaker Program,S00502,E00079,Product information discussion (on-label),103.0
I000123,2024-08-21,India,APAC,Primary Care,1:1 Meeting,S01480,E00346,Scientific exchange on clinical data,
I000124,2024-09-03,MEX,Americas,Specialty,1:1 Meeting,S00023,E00406,Training and best practice sharing,36.0
I000125,2024-05-06,Brazil,Americas,Specialty,1:1 Meeting,S00322,E00279,Advisory board discussion on unmet needs,22.0
I000126,2025-02-15,DE,EMEA,Specialty,Group Meeting,S01146,E00620,Market access discussion,45.0
I000127,2024-12-28,USA,Americas,Primary Care,1:1 Meeting,S00399,E00277,Scientific exchange on clinical data,8.0
I000128,2025-04-25,MEX,Americas,Vaccines,Advisory Board,S00023,E00775,Advisory board discussion on unmet needs,269.0
I000129,2024-01-19,MX,Americas,Respiratory,Congress/Conference,S00991,E00047,Training and best practice sharing,84.0
I000130,2025-03-24,BRA,Americas,Primary Care,Group Meeting,S01487,E00365,Market access discussion,96.0
I000131,2024-12-19,JPN,APAC,Specialty,Speaker Program,S01631,E00392,Market access discussion,
I000132,2024-04-02,United States of America,Americas,Specialty,Group Meeting,S01654,E00698,Congress meeting and follow-up,54.0
I000133,2024-08-26,IND,APAC,Primary Care,1:1 Meeting,S00269,E00348,Catch-up,32.0
I000134,2024-11-12,Mexico,Americas,Specialty,1:1 Meeting,S01019,E00100,Training and best practice sharing,20.0
I000135,2024-10-21,BR,Americas,Oncology,1:1 Meeting,S00606,E00166,Catch-up,34.0
I000136,2024-03-11,CAN,Americas,Oncology,1:1 Meeting,S00288,E00963,Product information discussion (on-label),
I000137,2024-09-25,United Kingdom,EMEA,Specialty,1:1 Meeting,S01050,E00866,Product information discussion (on-label),39.0
I000138,2024-01-07,India,APAC,Vaccines,Group Meeting,S00502,E00717,Advisory board discussion on unmet needs,55.0
I000139,2024-11-09,DE,EMEA,Oncology,1:1 Meeting,S00715,E00478,Advisory board discussion on unmet needs,1.0
I000140,2025-06-12,Japan,APAC,Specialty,1:1 Meeting,S00133,E00325,Scientific exchange on clinical data,32.0
I000141,2024-06-19,MX,Americas,Oncology,Speaker Program,S00438,E00328,Meeting,88.0
I000142,2024-07-25,DE,EMEA,Specialty,Group Meeting,S01554,E00701,Speaker program educational session,43.0
I000143,2025-06-24,GB,EMEA,Oncology,Group Meeting,S01075,E00220,Product information discussion (on-label),90.0
I000144,2025-01-14,United States,Americas,Primary Care,Congress/Conference,S00987,E00487,Market access discussion,161.0
I000145,2024-05-23,MEX,Americas,Respiratory,Advisory Board,S01481,E00684,Market access discussion,258.0
I000146,2025-05-19,IND,APAC,Vaccines,Speaker Program,S00940,E00957,Product information discussion (on-label),94.0
I000147,2024-12-01,United States of America,Americas,Oncology,Congress/Conference,S01756,E00129,Follow-up,105.0
I000148,2024-07-17,JP,APAC,Respiratory,1:1 Meeting,S00713,E00215,,27.0
I000149,2025-02-16,Brazil,Americas,Vaccines,1:1 Meeting,S01329,E00467,Training and best practice sharing,33.0
I000150,2025-03-04,BRA,Americas,Primary Care,Speaker Program,S01219,E00167,Product information discussion (on-label),80.0
I000151,2024-05-18,IND,APAC,Vaccines,Congress/Conference,S01651,E00858,Product information discussion (on-label),112.0
I000152,2024-08-19,CA,Americas,Vaccines,1:1 Meeting,S01031,E00596,Training and best practice sharing,22.0
I000153,2025-03-10,United States,Americas,Oncology,Congress/Conference,S00719,E00991,Training and best practice sharing,82.0
I000154,2025-06-17,CA,Americas,Specialty,1:1 Meeting,S00549,E00901,Market access discussion,22.0
I000155,2025-06-01,USA,Americas,Vaccines,Speaker Program,S00767,E00861,Congress meeting and follow-up,116.0
I000156,2024-10-18,MEX,Americas,Oncology,Advisory Board,S01320,E00403,Market access discussion,38.0
I000157,2024-11-30,US,Americas,Primary Care,1:1 Meeting,S00896,E00237,Training and best practice sharing,32.0
I000158,2024-03-22,United Kingdom,EMEA,Specialty,Congress/Conference,S00418,E00096,Scientific exchange on clinical data,96.0
I000159,2024-11-28,MEX,Americas,Vaccines,Group Meeting,S00268,E00465,Advisory board discussion on unmet needs,53.0
I000160,2024-08-08,United Kingdom,EMEA,Oncology,Group Meeting,S01351,E00053,Congress meeting and follow-up,88.0
I000161,2024-11-18,Brazil,Americas,Respiratory,Speaker Program,S00291,E00290,Training and best practice sharing,69.0
I000162,2024-02-09,Brazil,Americas,Vaccines,1:1 Meeting,S00997,E00983,Market access discussion,17.0
I000163,2024-02-28,United States of America,Americas,Vaccines,Group Meeting,S01351,E00581,Speaker program educational session,41.0
I000164,2024-05-01,Mexico,Americas,Vaccines,Speaker Program,S01519,E00261,Discussed topics,
I000165,2025-04-23,United Kingdom,EMEA,Vaccines,Group Meeting,S00061,E00336,Speaker program educational session,73.0
I000166,2024-12-13,FRA,EMEA,Respiratory,1:1 Meeting,S00957,E00764,Speaker program educational session,18.0
I000167,2024-05-03,Great Britain,EMEA,Primary Care,Congress/Conference,S00211,E00598,Market access discussion,124.0
I000168,2024-07-19,IT,EMEA,Primary Care,Group Meeting,S01276,E00111,Market access discussion,47.0
I000169,2024-09-06,United States,Americas,Vaccines,Congress/Conference,S00519,E00601,Congress meeting and follow-up,170.0
I000170,2025-04-24,US,Americas,Primary Care,1:1 Meeting,S00381,E00367,Speaker program educational session,58.0
I000171,2024-11-09,India,APAC,Primary Care,Advisory Board,S01163,E00815,Advisory board discussion on unmet needs,222.0
I000172,2024-04-01,MX,Americas,Respiratory,Congress/Conference,S01654,E00881,Product information discussion (on-label),81.0
I000173,2024-09-21,USA,Americas,Vaccines,Group Meeting,S01022,E00048,Speaker program educational session,35.0
I000174,2025-03-17,MEX,Americas,Primary Care,Speaker Program,S01605,E00877,Product information discussion (on-label),39.0
I000175,2025-02-04,Great Britain,EMEA,Vaccines,1:1 Meeting,S00034,E00072,Speaker program educational session,36.0
I000176,2025-05-04,United States of America,Americas,Primary Care,1:1 Meeting,S00097,E00403,Scientific exchange on clinical data,14.0
I000177,2025-04-29,US,Americas,Specialty,Speaker Program,S00022,E00143,Advisory board discussion on unmet needs,140.0
I000178,2025-03-20,JP,APAC,Respiratory,Congress/Conference,S01410,E00889,Meeting,
I000179,2024-09-25,IN,APAC,Oncology,1:1 Meeting,S00349,E00948,Training and best practice sharing,21.0
I000180,2024-02-28,IN,APAC,Vaccines,1:1 Meeting,S00493,E00592,Product information discussion (on-label),45.0
I000181,2024-02-09,Japan,APAC,Vaccines,1:1 Meeting,S01712,E00894,Scientific exchange on clinical data,40.0
I000182,2024-10-26,DE,EMEA,Specialty,1:1 Meeting,S00789,E00193,Congress meeting and follow-up,32.0
I000183,2025-01-29,IN,APAC,Specialty,Group Meeting,S00217,E00937,Congress meeting and follow-up,40.0
I000184,2024-11-13,USA,Americas,Primary Care,1:1 Meeting,S01406,E00315,Scientific exchange on clinical data,45.0
I000185,2025-01-03,USA,Americas,Oncology,Advisory Board,S00059,E00488,Scientific exchange on clinical data,238.0
I000186,2024-08-26,USA,Americas,Respiratory,1:1 Meeting,S00684,E00055,Product information discussion (on-label),
I000187,2024-07-13,Italy,EMEA,Respiratory,1:1 Meeting,S01245,E00506,Scientific exchange on clinical data,
I000188,2024-05-08,UK,EMEA,Respiratory,1:1 Meeting,S00135,E00545,Product information discussion (on-label),35.0
I000189,2024-06-04,IND,APAC,Primary Care,1:1 Meeting,S00351,E00805,Scientific exchange on clinical data,11.0
I000190,2025-03-12,Great Britain,EMEA,Respiratory,1:1 Meeting,S00626,E00874,Follow-up,26.0
I000191,2024-07-25,United States of America,Americas,Vaccines,1:1 Meeting,S00877,E00343,Training and best practice sharing,37.0
I000192,2024-12-05,FRA,EMEA,Oncology,1:1 Meeting,S01001,E00895,Speaker program educational session,37.0
I000193,2024-12-05,BR,Americas,Specialty,Group Meeting,S00205,E00312,Congress meeting and follow-up,38.0
I000194,2025-06-17,Germany,EMEA,Oncology,Speaker Program,S00723,E00309,Training and best practice sharing,28.0
I000195,2024-03-10,DEU,EMEA,Respiratory,Group Meeting,S00043,E00152,Product information discussion (on-label),79.0
I000196,2025-05-31,IN,APAC,Oncology,1:1 Meeting,S01525,E00092,Market access discussion,27.0
I000197,2024-04-29,CAN,Americas,Respiratory,Speaker Program,S01391,E00358,Speaker program educational session,101.0
I000198,2024-08-04,BR,Americas,Primary Care,Group Meeting,S00252,E00444,Scientific exchange on clinical data,69.0
I000199,2024/02/25,CA,Americas,Specialty,1:1 Meeting,S00308,E00536,Speaker program educational session,30.0
I000200,2025-03-30,US,Americas,Vaccines,Advisory Board,S01691,E00608,,
I000201,2024-04-13,USA,Americas,Primary Care,Group Meeting,S01029,E00682,Advisory board discussion on unmet needs,45.0
I000202,2024-09-20,Italy,EMEA,Vaccines,1:1 Meeting,S00066,E00485,Product information discussion (on-label),32.0
I000203,2024-11-26,UK,EMEA,Primary Care,1:1 Meeting,S00355,E00578,Training and best practice sharing,36.0
I000204,2024-01-27,Italy,EMEA,Specialty,1:1 Meeting,S00176,E00305,Training and best practice sharing,39.0
I000205,2024-10-02,BRA,Americas,Primary Care,1:1 Meeting,S01404,E00730,,36.0
I000206,2025-03-26,United States of America,Americas,Oncology,Speaker Program,S00288,E00630,Congress meeting and follow-up,122.0
I000207,2024-12-30,United Kingdom,EMEA,Vaccines,Group Meeting,S00805,E00129,Product information discussion (on-label),111.0
I000208,2025-02-03,United States,Americas,Vaccines,1:1 Meeting,S00200,E00842,Discussed topics,17.0
I000209,2024-09-09,IND,APAC,Respiratory,Speaker Program,S01517,E00991,Speaker program educational session,95.0
I000210,2025-04-03,Canada,Americas,Vaccines,Group Meeting,S01278,E00705,Congress meeting and follow-up,58.0
I000211,2025-05-13,United States of America,Americas,Vaccines,Group Meeting,S00909,E00401,Training and best practice sharing,55.0
I000212,2025-05-22,Germany,EMEA,Respiratory,1:1 Meeting,S01760,E00674,Training and best practice sharing,29.0
I000213,2024-10-30,United States,Americas,Respiratory,Advisory Board,S00984,E00297,Speaker program educational session,115.0
I000214,2024-07-25,BR,Americas,Oncology,Speaker Program,S00581,E00469,Discussed topics,125.0
I000215,2024-08-22,CAN,Americas,Oncology,Group Meeting,S00939,E00284,Advisory board discussion on unmet needs,0.0
I000216,2024-12-04,BRA,Americas,Respiratory,Speaker Program,S01344,E00156,Training and best practice sharing,41.0
I000217,2025-06-20,FRA,EMEA,Oncology,Speaker Program,S01719,E00661,Market access discussion,96.0
I000218,2024-01-19,Brazil,Americas,Specialty,1:1 Meeting,S01206,E00979,Business discussion,23.0
I000219,2025-03-25,Germany,EMEA,Vaccines,1:1 Meeting,S01392,E00488,Training and best practice sharing,21.0
I000220,2024-10-02,IN,APAC,Oncology,Group Meeting,S00861,E00945,Scientific exchange on clinical data,92.0
I000221,2024-02-17,MX,Americas,Vaccines,Group Meeting,S00658,E00111,Advisory board discussion on unmet needs,74.0
I000222,2025-06-23,ITA,EMEA,Primary Care,Advisory Board,S01520,E00166,Scientific exchange on clinical data,190.0
I000223,2024-07-09,United States of America,Americas,Vaccines,Group Meeting,S00011,E00369,Market access discussion,73.0
I000224,2024-01-14,BRA,Americas,Specialty,1:1 Meeting,S00971,E00513,Scientific exchange on clinical data,39.0
I000225,2024-10-14,Italy,EMEA,Vaccines,1:1 Meeting,S00261,E00802,Discussed topics,50.0
I000226,2025-04-15,UK,EMEA,Primary Care,Group Meeting,S00515,E00400,Scientific exchange on clinical data,49.0
I000227,2024-03-15,United Kingdom,EMEA,Respiratory,1:1 Meeting,S00818,E00634,Speaker program educational session,30.0
I000228,2025-02-28,France,EMEA,Primary Care,Advisory Board,S01567,E00061,Market access discussion,99.0
I000229,2025-05-25,DEU,EMEA,Vaccines,Group Meeting,S01155,E00927,Scientific exchange on clinical data,93.0
I000230,2024-09-16,IN,APAC,Vaccines,Group Meeting,S00981,E00970,Advisory board discussion on unmet needs,67.0
I000231,2024-07-11,Brazil,Americas,Specialty,Speaker Program,S00114,E00027,Market access discussion,107.0
I000232,2024-04-02,MX,Americas,Vaccines,1:1 Meeting,S00773,E00713,Scientific exchange on clinical data,20.0
I000233,2025-03-05,FRA,EMEA,Primary Care,1:1 Meeting,S00119,E00244,Training and best practice sharing,35.0
I000234,2024-02-12,USA,Americas,Vaccines,Group Meeting,S00512,E00833,Speaker program educational session,87.0
I000235,2024-07-25,CA,Americas,Specialty,1:1 Meeting,S00981,E00674,Product information discussion (on-label),34.0
I000236,2024-08-09,United Kingdom,EMEA,Specialty,1:1 Meeting,S00620,E00965,Speaker program educational session,34.0
I000237,2024-06-14,United States of America,Americas,Oncology,1:1 Meeting,S01274,E00498,Advisory board discussion on unmet needs,19.0
I000238,2024-04-03,Germany,EMEA,Primary Care,Group Meeting,S01614,E00146,,124.0
I000239,2024-01-13,DE,EMEA,Respiratory,1:1 Meeting,S01695,E00989,Training and best practice sharing,32.0
I000240,2025-03-13,US,Americas,Specialty,1:1 Meeting,S01352,E00442,Scientific exchange on clinical data,
I000241,2025-06-21,CAN,Americas,Primary Care,Group Meeting,S01211,E00222,Product information discussion (on-label),51.0
I000242,2024-05-29,JPN,APAC,Vaccines,1:1 Meeting,S01478,E00955,Congress meeting and follow-up,32.0
I000243,2024-01-08,DE,EMEA,Oncology,1:1 Meeting,S00488,E00136,Advisory board discussion on unmet needs,32.0
I000244,2025-03-14,FRA,EMEA,Oncology,Speaker Program,S00562,E00371,Scientific exchange on clinical data,113.0
I000245,2024-05-23,India,APAC,Primary Care,Group Meeting,S00909,E00474,Market access discussion,
I000246,2024-02-14,IT,EMEA,Respiratory,Congress/Conference,S00567,E00919,Training and best practice sharing,189.0
I000247,2024-08-26,Great Britain,EMEA,Specialty,Advisory Board,S00358,E00151,Advisory board discussion on unmet needs,116.0
I000248,2024-08-02,Mexico,Americas,Vaccines,1:1 Meeting,S00467,E00063,Meeting,45.0
I000249,2024-03-28,MX,Americas,Primary Care,Speaker Program,S01039,E00455,Training and best practice sharing,70.0
I000250,2025-04-09,US,Americas,Oncology,Group Meeting,S00294,E00026,Market access discussion,46.0
I000251,2024-08-10,IND,APAC,Specialty,1:1 Meeting,S00596,E00953,Speaker program educational session,29.0
I000252,2024-12-31,Brazil,Americas,Respiratory,Group Meeting,S00441,E00388,Market access discussion,69.0
I000253,2024-10-02,CAN,Americas,Specialty,1:1 Meeting,S01177,E00646,Congress meeting and follow-up,21.0
I000254,2024-09-24,BR,Americas,Respiratory,1:1 Meeting,S00650,E00276,Training and best practice sharing,9.0
