spend_id,interaction_id,spend_category,amount_local,currency,amount_usd,payment_date
P000084,I003263,Travel,176.01,BRL,35.2,2025-02-10
P000085,I003332,Meals,167.19,GBP,212.33,2025-06-11
P000086,I000752,Honoraria,394.82,INR,4.74,2025-02-07
P000087,I005517,Honoraria,534.92,EUR,583.06,2024-07-01
P000088,I002203,Meals,61.42,EUR,,2024-06-30
P000089,I001444,Lodging,50.73,EUR,55.3,2024-06-13
P000090,I002117,Honoraria,595.38,INR,7.14,2024-06-08
P000091,I004744,Meals,145.95,BRL,29.19,2024-09-07
P000092,I008587,Meals,69.88,BRL,13.98,2024-03-03
P000093,I006421,Meals,75.6,JPY,0.51,2024-02-22
P000094,I004331,Lodging,253.23,GBP,321.6,2025-03-04
P000095,I006127,Meals,135.21,CAD,100.06,2025-02-09
P000096,I003328,Honoraria,1793.31,EUR,1954.71,2024-11-10
P000097,I005291,Honoraria,1595.22,EUR,1738.79,2024-12-08
P000098,I001849,Honoraria,1114.77,EUR,1215.1,2024-01-23
P000099,I002569,Meals,132.57,CAD,98.1,2025-04-20
P000100,I004947,Meals,44.49,CAD,32.92,2024-11-11
P000101,I004207,Meals,99.43,USD,99.43,2025-05-31
P000102,I000308,Travel,320.47,EUR,349.31,2024-10-09
P000103,I004280,Honoraria,989.82,MXN,57.41,2024-03-18
P000104,I005670,Travel,247.31,EUR,269.57,2025-01-26
P000105,I000335,Meals,122.35,INR,1.47,2025-03-07
P000106,I006449,Meals,130.36,BRL,26.07,2024-04-28
P000107,I000139,Venue/AV,5570.02,EUR,6071.32,2024-12-12
P000108,I006507,Travel,117.87,BRL,23.57,2024-10-20
P000109,I006460,Meals,162.5,EUR,177.12,2024-08-07
P000110,I004842,Meals,63.77,EUR,69.51,2024-02-12
P000111,I002882,Travel,151.19,USD,151.19,2024-11-14
P000112,I003467,Travel,662.92,EUR,722.58,2024-02-24
P000113,I004726,Honoraria,1553.97,INR,18.65,2024-01-31
P000114,I002985,Travel,144.39,mxn,,2024-08-28
P000115,I006705,Meals,127.33,JPY,0.85,2025-03-23
P000116,I003468,Honoraria,1288.0,MXN,74.7,2024-10-22
P000117,I003182,Meals,54.55,CAD,40.37,2025-01-31
P000118,I001449,Travel,761.32,EUR,829.84,2025/04/17
P000119,I006089,Lodging,317.69,INR,3.81,2024-04-04
P000120,I003133,Honoraria,1296.05,BRL,259.21,2024-03-19
P000121,I005949,Honoraria,869.06,CAD,643.1,2024-05-01
P000122,I003309,Venue/AV,2028.32,GBP,2575.97,2024-12-18
P000123,I005760,Meals,109.05,INR,,2025-02-21
P000124,I003851,Travel,621.63,CAD,460.01,2024-10-09
P000125,I006353,Meals,59.72,EUR,65.09,2024-03-18
P000126,I001953,Meals,69.73,eur,,2024-11-17
P000127,I001649,Meals,243.4,INR,2.92,2024-07-22
P000128,I004651,Travel,757.1,EUR,825.24,2024-08-24
P000129,I004154,Meals,68.17,JPY,0.46,2024-07-01
P000130,I004017,Honoraria,1528.25,GBP,1940.88,2025-05-23
P000131,I004636,Meals,146.96,INR,1.76,2024-09-02
P000132,I008232,Meals,17.7,JPY,0.12,2024-09-06
P000133,I004583,Meals,67.68,GBP,85.95,2024-06-15
P000134,I005314,Honoraria,2377.11,CAD,1759.06,2024-11-30
P000135,I006261,Travel,812.93,USD,812.93,2024-02-20
P000136,I002293,Lodging,1086.06,JPY,7.28,2025-06-17
P000137,I003498,Travel,388.72,BRL,77.74,2024-09-05
P000138,I005486,Honoraria,5468.22,MXN,317.16,2024-02-19
P000139,I005270,Meals,18.54,EUR,20.21,2025-06-14
P000140,I006053,Meals,112.76,EUR,122.91,2024-07-24
P000141,I005708,Meals,45.08,CAD,33.36,2024-05-10
P000142,I002132,Honoraria,897.94,JPY,6.02,2024-11-27
P000143,I000213,Lodging,256.87,CAD,190.08,2024-12-13
P000144,I006100,Travel,460.28,EUR,501.71,2025-03-27
P000145,I006837,Honoraria,625.11,GBP,793.89,2025-01-03
P000146,I003825,Honoraria,3562.28,GBP,4524.1,2024-10-23
P000147,I004229,Travel,587.64,USD,587.64,2025-02-24
P000148,I000456,Travel,158.19,JPY,1.06,2024-06-01
P000149,I000942,Meals,113.61,EUR,123.83,2024-03-02
P000150,I005967,Travel,442.06,INR,5.3,2025-01-21
P000151,I005529,Meals,109.48,CAD,81.02,2024-04-18
P000152,I005133,Meals,129.44,EUR,141.09,2024-05-11
P000153,I000299,Honoraria,1137.58,EUR,1239.96,2025-02-27
P000154,I000650,Venue/AV,1675.19,EUR,1825.96,2024-12-15
P000155,I006683,Travel,123.86,USD,123.86,2025-02-01
P000156,I002598,Travel,293.84,EUR,320.29,2024-05-23
P000157,I000933,Travel,194.72,INR,2.34,2024-09-18
P000158,I003253,Meals,289.19,EUR,315.22,2024-07-24
P000159,I001962,Lodging,587.35,MXN,34.07,2025-02-27
P000160,I003570,Travel,552.97,EUR,602.74,2024-10-30
P000161,I002138,Travel,906.69,BRL,181.34,2024-03-19
P000162,I006140,Meals,55.67,GBP,70.7,2025-06-15
P000163,I009941,Travel,461.14,JPY,3.09,2024-11-09
P000164,I003969,Meals,224.07,MXN,,2025-07-04
P000165,I001516,Lodging,737.17,USD,737.17,2024-10-26
P000166,I000657,Meals,43.3,JPY,0.29,2025-01-19
P000167,I001007,Meals,216.01,EUR,235.45,2025-02-08
P000168,I006482,Meals,265.31,INR,3.18,2025-01-07
P000169,I006029,Meals,91.22,CAD,67.5,2024-06-27
P000170,I002637,Meals,134.7,EUR,146.82,2024-02-09
P000171,I003645,Travel,596.53,INR,7.16,2024-12-13
P000172,I006519,Meals,119.44,CAD,88.39,2024-04-25
P000173,I003083,Meals,143.15,EUR,156.03,2024-09-14
P000174,I009668,Travel,656.41,EUR,715.49,2024-09-16
P000175,I003708,Meals,169.26,GBP,214.96,2024-01-05
P000176,I004820,Venue/AV,3062.06,CAD,2265.92,2024-11-13
P000177,I004825,Lodging,213.42,GBP,271.04,2025-04-04
P000178,I002661,Meals,92.43,MXN,5.36,2025-03-26
P000179,I005817,Meals,90.39,EUR,98.53,2024-09-12
P000180,I003977,Honoraria,665.74,JPY,4.46,2025-03-08
P000181,I000864,Travel,288.57,inr,3.46,2024-03-04
P000182,I005037,Meals,31.89,EUR,34.76,2025-01-17
P000183,I000338,Meals,66.9,USD,66.9,2025-06-12
P000184,I006535,Venue/AV,1935.72,MXN,112.27,2024-06-04
P000185,I000344,Meals,148.05,USD,148.05,2024-10-17
P000186,I008266,Travel,735.54,CAD,544.3,2025-05-13
P000187,I004365,Venue/AV,2197.42,EUR,2395.19,2025-05-29
P000188,I002765,Lodging,546.31,EUR,595.48,2024-05-25
P000189,I000766,Lodging,631.11,USD,631.11,2024-08-03
P000190,I000961,Meals,24.91,BRL,4.98,2024-10-30
P000191,I005697,Meals,154.91,EUR,168.85,2024-09-14
P000192,I004760,Travel,264.33,USD,264.33,2024-08-30
P000193,I004334,Travel,632.81,USD,632.81,2025-03-08
P000194,I000274,Meals,71.38,EUR,77.8,2024-03-11
P000195,I000819,Travel,203.69,EUR,222.02,2025-06-15
P000196,I003232,Honoraria,2125.12,CAD,1572.59,2025-05-15
P000197,I006255,Meals,113.41,EUR,123.62,2024-12-23
P000198,I002057,Meals,199.98,CAD,147.99,2024-08-11
P000199,I005951,Honoraria,2685.79,GBP,3410.95,2024-09-07
P000200,I001839,Venue/AV,2225.24,MXN,129.06,2024-11-05
P000201,I003920,Travel,570.75,CAD,422.36,2025-03-11
P000202,I003036,Honoraria,1541.98,INR,18.5,2024-02-28
P000203,I004268,Travel,204.81,EUR,223.24,2024-06-17
P000204,I006164,Lodging,1230.11,CAD,910.28,2024-09-01
P000205,I005128,Meals,55.61,MXN,3.23,2025-04-15
P000206,I006156,Travel,178.76,INR,2.15,2025-04-07
P000207,I000464,Meals,147.74,MXN,8.57,2025-04-22
P000208,I004891,Meals,40.07,USD,40.07,2024-12-04
P000209,I004178,Honoraria,1406.74,MXN,,2024-06-18
P000210,I005472,Lodging,184.72,GBP,234.59,2024-09-12
P000211,I003351,Travel,432.9,MXN,25.11,2025-02-04
P000212,I001763,Meals,210.76,INR,2.53,2025-03-16
P000213,I002211,Meals,47.73,BRL,9.55,2024-11-08
P000214,I001535,Meals,62.06,BRL,12.41,2024-07-30
P000215,I006085,Meals,69.83,JPY,0.47,2024-04-19
P000216,I006400,Honoraria,3366.09,JPY,22.55,2024-06-24
P000217,I006897,Lodging,369.6,GBP,469.39,2024-09-07
P000218,I004250,Travel,349.83,USD,349.83,2024-04-15
P000219,I004688,Meals,135.45,MXN,7.86,2024-11-17
P000220,I000653,Meals,77.22,EUR,84.17,2024-01-06
P000221,I001387,Honoraria,716.82,CAD,530.45,2024-09-11
P000222,I005022,Meals,82.02,JPY,0.55,2024-05-31
P000223,I004360,Travel,631.34,USD,631.34,2025-03-13
P000224,I009761,Meals,69.46,EUR,75.71,2025-03-19
P000225,I004698,Lodging,128.52,BRL,25.7,2024-04-23
P000226,I004958,Lodging,287.99,EUR,313.91,2024-08-17
P000227,I008472,Travel,339.24,BRL,67.85,2024-05-23
P000228,I006238,Meals,35.34,MXN,2.05,2024-10-19
P000229,I004251,Meals,106.08,MXN,6.15,2024-01-11
P000230,I001294,Travel,1082.73,EUR,1180.18,2025-06-23
P000231,I004973,Meals,61.59,CAD,45.58,2024-10-28
P000232,I005548,Travel,867.05,CAD,641.62,2025-07-02
P000233,I000205,Meals,39.21,BRL,7.84,2024-10-04
P000234,I002419,Meals,106.62,CAD,78.9,2024-07-13
P000235,I006483,Meals,56.97,EUR,62.1,2025-05-29
P000236,I003744,Travel,281.45,MXN,16.32,2025-06-10
P000237,I006295,Meals,74.93,EUR,81.67,2025-06-10
P000238,I003663,Meals,23.91,BRL,4.78,2025-05-14
P000239,I002042,Meals,110.04,INR,1.32,2024-09-22
P000240,I005972,Travel,288.94,CAD,213.82,2024-01-13
P000241,I006907,Meals,32.44,JPY,0.22,2024-06-05
P000242,I004943,Meals,352.69,EUR,384.43,2024-12-06
P000243,I003593,Meals,31.41,MXN,1.82,2024-07-09
P000244,I006764,Travel,253.39,INR,3.04,2024-09-09
P000245,I006255,Meals,148.09,EUR,161.42,2025-01-07
P000246,I004483,Lodging,259.43,MXN,15.05,2024-03-23
P000247,I005872,Meals,49.11,EUR,53.53,2024-06-07
P000248,I006035,Honoraria,431.04,JPY,2.89,2024-02-06
P000249,I004594,Meals,127.32,EUR,138.78,2024-01-26
P000250,I002304,Meals,219.01,JPY,1.47,2025-05-23
P000251,I001438,Meals,44.07,CAD,32.61,2025-02-17
P000252,I000338,Meals,31.98,USD,31.98,2025-05-27
P000253,I000634,Meals,77.63,INR,0.93,2024-10-10
P000254,I002798,Honoraria,823.05,USD,823.05,2024-06-23
P000255,I001654,Meals,124.31,CAD,91.99,2024-07-13
P000256,I006353,Meals,215.95,EUR,235.39,2024-03-22
P000257,I002695,Meals,127.42,CAD,94.29,2024-12-23
P000258,I000549,Meals,153.12,JPY,1.03,
P000259,I010418,Meals,73.14,GBP,92.89,2024-03-25
P000260,I001385,Travel,650.75,JPY,4.36,2024-08-24
P000261,I003969,Meals,49.59,cad,36.7,2025-06-13
P000262,I003379,Travel,157.63,MXN,9.14,2025-04-26
P000263,I002557,Honoraria,1091.57,EUR,1189.81,2025-03-09
P000264,I002899,Honoraria,648.76,MXN,37.63,2025-06-22
P000265,I001264,Lodging,224.66,GBP,285.32,2024-03-13
P000266,I004537,Meals,100.61,INR,1.21,2025-01-19
P000267,I005864,Lodging,928.56,MXN,53.86,2024-12-27
P000268,I003516,Honoraria,1087.43,USD,1087.43,2025-03-19
P000269,I003432,Venue/AV,1674.89,BRL,334.98,2024-02-08
P000270,I002508,Venue/AV,2517.55,CAD,1862.99,2024-04-14
P000271,I004402,Meals,22.34,USD,22.34,2025-05-08
P000272,I004600,Meals,102.16,MXN,5.93,2024-10-04
P000273,I001367,Meals,54.59,INR,0.66,2024-03-22
P000274,I002737,Travel,297.36,EUR,324.12,2024-03-05
P000275,I004134,Meals,63.19,EUR,68.88,2025-04-22
P000276,I006904,Travel,119.81,EUR,130.59,2024-06-13
P000277,I002015,Honoraria,868.99,BRL,173.8,2025-06-07
P000278,I000673,Meals,40.19,MXN,2.33,2025-01-19
P000279,I006629,Travel,150.67,EUR,164.23,2025-04-04
P000280,I004455,Honoraria,309.92,JPY,2.08,2024-11-13
P000281,I001094,Lodging,628.71,MXN,36.47,2024-04-11
P000282,I003324,Lodging,750.17,EUR,817.69,2024-10-06
P000283,I003252,Venue/AV,1567.26,BRL,313.45,2024-07-04
P000284,I001405,Meals,180.02,JPY,1.21,2025-04-26
P000285,I003237,Meals,48.22,EUR,52.56,2024-08-10
P000286,I002946,Meals,34.49,JPY,0.23,2024-02-03
P000287,I000509,Honoraria,776.52,EUR,846.41,2025-01-04
P000288,I004632,Meals,58.11,EUR,63.34,2024-09-12
P000289,I003246,Travel,562.46,EUR,613.08,2024-07-16
P000290,I005058,Meals,57.39,EUR,62.56,2024-09-15
P000291,I005479,Meals,51.46,BRL,10.29,2025-04-08
P000292,I004855,Travel,431.34,MXN,25.02,2024-05-07
P000293,I001232,Venue/AV,1290.4,BRL,258.08,2024-10-05
P000294,I003300,Honoraria,3434.46,CAD,2541.5,2024-10-27
P000295,I003088,Travel,345.69,EUR,376.8,2024-11-10
P000296,I000872,Honoraria,888.25,CAD,657.3,2025-02-13
P000297,I001029,Travel,146.78,GBP,186.41,2024-04-29
P000298,I003605,Meals,86.54,INR,1.04,2024-05-12
P000299,I000303,Meals,131.82,GBP,167.41,2025-02-25
P000300,I006477,Meals,35.37,EUR,38.55,2025-03-30
P000301,I005374,Meals,78.76,INR,0.95,2024-08-17
P000302,I001026,Meals,195.09,CAD,144.37,2025-03-01
P000303,I004932,Meals,43.27,JPY,0.29,2024-07-30
P000304,I003101,Travel,391.25,CAD,289.52,2024-12-01
P000305,I002594,Venue/AV,2700.2,EUR,2943.22,2024-05-23
P000306,I002966,Lodging,357.92,JPY,2.4,2025-07-01
P000307,I002170,Meals,74.56,MXN,4.32,2025-05-29
P000308,I000096,Lodging,240.7,JPY,1.61,2024-04-25
P000309,I005998,Lodging,395.19,EUR,430.76,2024-11-04
P000310,I005274,Lodging,378.91,BRL,75.78,2024-11-07
P000311,I000719,Lodging,412.49,CAD,305.24,2024-02-04
P000312,I006073,Travel,319.76,JPY,2.14,2025-01-03
P000313,I000592,Meals,23.75,BRL,4.75,2024-06-22
P000314,I006972,Meals,97.81,USD,97.81,2024-09-21
P000315,I000055,Meals,65.34,EUR,71.22,2024-03-24
P000316,I003237,Travel,451.5,EUR,492.14,2024-09-05
P000317,I004003,Meals,299.14,JPY,2.0,2024-07-05
P000318,I001801,Meals,85.79,JPY,,2025-04-24
P000319,I006003,Travel,550.23,GBP,698.79,2025-03-20
P000320,I004913,Travel,822.88,EUR,896.94,2024-02-20
P000321,I001633,Meals,29.54,GBP,37.52,2024-10-19
P000322,I004823,Honoraria,1426.83,BRL,285.37,2024-06-10
P000323,I004131,Travel,275.43,BRL,55.09,2025-04-08
P000324,I005892,Travel,914.94,MXN,53.07,2024-09-17
P000325,I000402,Meals,45.44,MXN,2.64,2024-03-06
P000326,I004325,Meals,182.76,USD,182.76,2024-02-20
P000327,I009933,Lodging,241.41,MXN,14.0,2024-02-01
P000328,I006160,Travel,724.51,EUR,789.72,2025-05-24
P000329,I004203,Venue/AV,1663.56,EUR,1813.28,2025-03-15
P000330,I002292,Travel,688.42,BRL,137.68,2025-07-10
P000331,I002948,Travel,562.01,EUR,612.59,2025-07-08
P000332,I002022,Meals,57.08,INR,0.68,2025-03-22
P000333,I005229,Travel,511.79,GBP,649.97,2025-03-28
P000334,I004411,Honoraria,1285.16,EUR,1400.82,2025-02-27
P000335,I003221,Lodging,853.62,CAD,631.68,2024-06-01
P000336,I006236,Meals,129.86,MXN,7.53,2025-05-04
P000337,I003909,Honoraria,345.8,BRL,69.16,2024-01-22
P000338,I002875,Meals,51.37,USD,51.37,2025-04-05
P000339,I000425,Travel,407.22,CAD,301.34,2024-07-16
P000340,I001303,Honoraria,935.19,INR,11.22,2025-03-14
P000341,I004362,Meals,37.45,EUR,40.82,2024-10-16
P000342,I002543,Travel,344.8,EUR,375.83,2024-01-11
P000343,I000858,Travel,427.46,BRL,85.49,2024-02-16
P000344,I005459,Venue/AV,5373.19,CAD,3976.16,2025-04-12
P000345,I002504,Meals,145.45,BRL,29.09,2025-02-14
P000346,I006765,Honoraria,2433.19,BRL,486.64,2024-02-06
P000347,I001038,Honoraria,2272.36,INR,27.27,2024-07-03
P000348,I002942,Travel,233.74,BRL,46.75,2024-11-06
P000349,I002456,Travel,595.51,JPY,3.99,2024-05-31
P000350,I000737,Lodging,411.35,EUR,448.37,2024-12-24
P000351,I001008,Meals,124.82,USD,124.82,2024-03-20
P000352,I005050,Honoraria,1030.89,MXN,59.79,2024-12-03
P000353,I003204,Honoraria,1560.97,INR,18.73,2025-02-22
P000354,I000737,Meals,27.87,EUR,30.38,2024-11-24
P000355,I006982,Honoraria,1633.3,USD,1633.3,2024-07-14
P000356,I000658,Travel,571.01,EUR,622.4,2024-07-06
P000357,I005923,Lodging,511.51,USD,511.51,2025-01-02
P000358,I005564,Meals,149.68,BRL,29.94,2024-07-22
P000359,I003576,Honoraria,866.86,INR,10.4,2025-01-24
P000360,I002063,Travel,467.14,CAD,,2025-03-23
P000361,I005084,Venue/AV,2614.19,USD,2614.19,2025-06-12
P000362,I005338,Lodging,242.65,INR,2.91,2024-11-26
P000363,I001167,Travel,648.98,MXN,37.64,2025-02-06
P000364,I002189,Meals,121.21,BRL,24.24,2024-12-07
P000365,I002274,Meals,49.69,JPY,0.33,2024-08-25
P000366,I001195,Lodging,483.87,BRL,96.77,2024-02-11
P000367,I003975,Travel,185.95,JPY,1.25,2025-01-22
P000368,I004373,Travel,101.77,MXN,5.9,2024-03-17
P000369,I000945,Lodging,259.35,CAD,191.92,2024-06-09
P000370,I004175,Travel,691.36,MXN,40.1,2025-06-15
P000371,I006584,Meals,243.39,JPY,1.63,2024-06-20
P000372,I005234,Lodging,159.44,USD,159.44,2025-04-29
P000373,I001563,Meals,66.59,MXN,3.86,2025-03-27
P000374,I005526,Travel,343.34,EUR,374.24,2024-09-01
P000375,I003027,Travel,817.36,EUR,890.92,2024-06-05
P000376,I004215,Meals,42.41,MXN,2.46,2025-06-05
P000377,I000895,Meals,233.38,USD,233.38,2024-06-06
P000378,I001304,Lodging,437.07,MXN,25.35,2025-03-05
P000379,I002036,Lodging,235.39,GBP,298.95,2024-12-06
P000380,I003620,Meals,104.04,INR,1.25,2024-05-29
P000381,I002430,Honoraria,853.53,CAD,631.61,2025-05-11
P000382,I004967,Honoraria,4217.32,EUR,4596.88,2024-04-19
P000383,I006953,Meals,37.61,EUR,40.99,2024-04-20
P000384,I003552,Meals,131.99,EUR,143.87,2024-08-04
P000385,I005829,Travel,170.35,GBP,216.34,2025-05-04
P000386,I005357,Travel,340.76,EUR,371.43,2024-02-06
P000387,I005017,Meals,160.24,EUR,174.66,2024-02-28
P000388,I004027,Honoraria,1039.92,INR,12.48,2024-03-25
P000389,I002759,Lodging,217.08,brl,43.42,2024-07-04
P000390,I003449,Lodging,277.74,EUR,302.74,2025-07-02
P000391,I001902,Meals,105.53,EUR,115.03,2024-05-26
P000392,I005071,Meals,121.91,MXN,7.07,2024-09-17
P000393,I006437,Meals,66.71,INR,0.8,2025-07-06
P000394,I000174,Travel,1050.32,CAD,777.24,2025-04-08
P000395,I005062,Honoraria,2485.78,USD,2485.78,2024-05-27
P000396,I006980,Travel,484.64,gbp,615.49,2025-07-20
P000397,I003096,Meals,84.64,EUR,92.26,2024-02-25
P000398,I002292,Travel,492.14,USD,492.14,2025-07-07
P000399,I004004,Meals,125.62,GBP,159.54,2024-05-23
P000400,I000982,Honoraria,912.53,EUR,994.66,2025-07-06
P000401,I000682,Travel,455.88,CAD,337.35,2024-11-15
P000402,I006271,Travel,525.13,GBP,666.92,2024-03-19
P000403,I000344,Honoraria,1825.55,MXN,105.88,2024-10-06
P000404,I005962,Meals,84.29,GBP,107.05,2024-02-25
P000405,I006423,Meals,57.31,JPY,0.38,2025-01-11
P000406,I001067,Venue/AV,4991.47,MXN,289.51,2024-02-09
P000407,I004138,Meals,110.02,MXN,6.38,2024-08-20
P000408,I003560,Honoraria,1758.67,CAD,1301.42,2025-06-23
P000409,I006965,Meals,137.08,EUR,149.42,2024-10-06
P000410,I004376,Honoraria,1065.84,JPY,7.14,2025-06-07
P000411,I002726,Honoraria,1352.07,INR,16.22,2024-02-14
P000412,I001238,Meals,368.54,INR,4.42,2025-03-12
P000413,I003904,Travel,341.05,JPY,2.29,2025-05-02
P000414,I005771,Meals,69.89,BRL,13.98,2024-03-25
P000415,I005844,Meals,44.59,EUR,48.6,2025-03-08
P000416,I005229,Meals,66.43,EUR,72.41,2025-04-07
P000417,I004982,Honoraria,630.47,MXN,36.57,2024-08-25
P000418,I006731,Lodging,211.46,GBP,268.55,2025-01-19
P000419,I003131,Meals,80.87,USD,80.87,2025-02-08
P000420,I006953,Meals,122.33,EUR,133.34,2024-04-09
P000421,I004180,Meals,75.89,GBP,96.38,2025-06-27
P000422,I005816,Lodging,609.41,EUR,664.26,2024-09-09
P000423,I004040,Lodging,595.91,MXN,34.56,2024-10-10
P000424,I004289,Honoraria,1203.64,eur,1311.97,2025-05-04
P000425,I000452,Lodging,280.49,USD,280.49,2024-01-23
P000426,I001416,Honoraria,2068.55,INR,24.82,2025-06-20
P000427,I002223,Travel,204.44,USD,204.44,2024-10-01
P000428,I004818,Venue/AV,2273.83,USD,2273.83,2025-06-07
P000429,I006942,Meals,46.71,GBP,59.32,2024-08-21
P000430,I002802,Travel,138.37,USD,138.37,2025-01-13
P000431,I006322,Travel,256.36,JPY,1.72,2024-03-30
P000432,I001505,Lodging,748.32,MXN,43.4,2024-06-09
P000433,I003275,Honoraria,710.74,GBP,902.64,2024-03-03
P000434,I002005,Venue/AV,1614.93,GBP,2050.96,2024-04-28
P000435,I005159,Meals,61.44,EUR,66.97,2024-02-15
P000436,I005735,Travel,236.68,INR,2.84,2025-03-13
P000437,I002435,Meals,71.33,EUR,77.75,2025-07-19
P000438,I003114,Travel,923.97,EUR,1007.13,2024-04-25
P000439,I000522,Honoraria,1665.07,BRL,333.01,2024-02-17
P000440,I001853,Honoraria,1055.65,JPY,7.07,2024-09-29
