stakeholder_id,stakeholder_type,country,specialty,risk_tier,onboarding_date
S00174,HCP,Japan,Rheumatology,Low,2022-08-31
S00175,HCO,United Kingdom,Organization,Low,2021-06-17
S00176,HCP,India,Infectious Disease,Low,2022-06-30
S00177,HCP,Canada,Hematology,Low,2023-01-29
S00178,HCP,Germany,Infectious Disease,Low,2021-08-13
S00179,HCP,Mexico,Pediatrics,Low,2022-04-01
S00180,HCP,United States,Neurology,Low,2022-09-16
S00181,HCP,Italy,Pulmonology,Low,2023-08-04
S00182,HCP,Canada,Pulmonology,Medium,2023-04-14
S00183,HCO,United Kingdom,Organization,Low,2023-08-11
S00184,HCP,India,Nephrology,Low,2023-01-21
S00185,HCP,Japan,Infectious Disease,Low,2022-04-18
S00186,HCP,United States,Dermatology,Low,2021-03-21
S00187,HCP,Italy,Primary Care,Low,2021-08-04
S00188,HCP,United Kingdom,Rheumatology,,2023-12-31
S00189,HCP,United Kingdom,Psychiatry,Low,2021-07-19
S00190,HCP,Brazil,Oncology,Medium,2023-04-23
S00191,HCP,Mexico,Gastroenterology,,2022-10-06
S00192,HCP,France,Psychiatry,Low,2021-02-05
S00193,HCO,Canada,Organization,Low,2021-03-23
S00194,HCO,Brazil,Organization,Medium,2023-12-24
S00195,HCP,Brazil,Endocrinology,Low,2021-10-08
S00196,HCP,United Kingdom,Cardiology,,2023-06-08
S00197,HCP,United Kingdom,Endocrinology,Medium,2022-11-24
S00198,HCP,Japan,Cardiology,Medium,2023-08-03
S00199,HCP,Japan,Neurology,Low,2023-11-09
S00200,HCP,United States,Hematology,Low,2022-04-14
S00201,HCP,Germany,Oncology,Medium,2022-05-25
S00202,HCP,United States,Nephrology,Medium,2023-09-20
S00203,HCP,Brazil,Dermatology,Low,2023-04-23
S00204,HCP,India,Nephrology,Medium,2022-08-10
S00205,HCP,United Kingdom,Ophthalmology,Low,2023-09-25
S00206,HCO,Canada,Organization,Low,2023-08-02
S00207,HCP,Canada,Psychiatry,Low,2021-07-02
S00208,HCP,Italy,Pulmonology,Medium,2021-08-07
S00209,HCP,France,Gastroenterology,Low,2023-01-29
S00210,HCP,United States,Psychiatry,Medium,2021-10-02
S00211,HCP,Brazil,Pulmonology,Medium,2021-05-20
S00212,HCP,Japan,Dermatology,High,2023-07-25
S00213,HCP,Canada,Ophthalmology,Low,2021-10-23
S00214,HCP,Germany,Pediatrics,Low,2022-11-30
S00215,HCP,Brazil,Oncology,Low,2021-10-08
S00216,HCP,Brazil,Hematology,Medium,2022-11-27
S00217,HCP,Brazil,Infectious Disease,Medium,2022-04-02
S00218,HCO,India,Organization,Low,2021-02-09
S00219,HCP,Japan,Primary Care,Low,2022-02-13
S00220,HCP,India,Primary Care,Low,2022-09-29
S00221,HCP,Germany,Pediatrics,Medium,2021-05-22
S00222,HCP,Canada,Cardiology,,2022-09-19
S00223,HCP,Brazil,Nephrology,Medium,2021-02-20
S00224,HCP,Japan,Infectious Disease,High,2021-12-13
S00225,HCO,France,Organization,Low,2023-11-25
S00226,HCO,Japan,Organization,Low,2023-05-17
S00227,HCP,India,Pediatrics,Low,2022-06-18
S00228,HCP,France,Psychiatry,Low,2022-10-21
S00229,HCP,India,Gastroenterology,Low,2023-12-06
S00230,HCP,Germany,Neurology,Low,2023-05-21
S00231,HCO,India,Organization,Medium,2021-10-26
S00232,HCP,United States,Gastroenterology,Low,2023-03-24
S00233,HCP,United States,Neurology,Medium,2021-08-06
S00234,HCP,Japan,Nephrology,Low,2021-05-17
S00235,HCP,Brazil,Ophthalmology,Low,2022-10-06
S00236,HCP,Japan,Pediatrics,Medium,2021-03-18
S00237,HCP,Italy,Pulmonology,Medium,2021-10-08
S00238,HCP,Japan,Dermatology,,2022-03-14
S00239,HCP,Germany,Oncology,Medium,2022-07-04
S00240,HCP,France,Psychiatry,Low,2021-01-24
S00241,HCP,Brazil,Infectious Disease,,2023-12-16
S00242,HCP,Canada,Endocrinology,Low,2023-07-28
S00243,HCP,Canada,Ophthalmology,Low,2022-09-12
S00244,HCP,Germany,Nephrology,High,2021-01-27
S00245,HCO,Mexico,Organization,Low,2022-08-02
S00246,HCP,United States,Pulmonology,Medium,2023-09-25
S00247,HCO,Canada,Organization,Low,2021-02-05
S00248,HCP,Brazil,Infectious Disease,Low,2023-03-28
S00249,HCP,United Kingdom,Rheumatology,Low,2022-08-23
S00250,HCO,Mexico,Organization,,2023-03-06
S00251,HCP,Italy,Dermatology,High,2023-07-05
S00252,HCP,India,Psychiatry,Low,2022-05-05
S00253,HCP,India,Pediatrics,Medium,2022-02-01
S00254,HCP,France,Cardiology,Low,2021-04-14
S00255,HCP,Canada,Oncology,High,2023-06-25
S00256,HCP,Japan,Ophthalmology,Low,2023-04-24
S00257,HCP,France,Pediatrics,,2021-04-26
S00258,HCP,Germany,Pulmonology,Low,2021-06-18
S00259,HCP,India,Hematology,Low,2023-08-27
S00260,HCP,United Kingdom,Neurology,Medium,2023-12-15
S00261,HCO,Japan,Organization,Low,2022-06-15
S00262,HCP,Germany,Pediatrics,High,2022-06-11
S00263,HCP,Italy,Rheumatology,,2022-02-15
S00264,HCP,Germany,Psychiatry,Low,2022-04-16
S00265,HCP,United States,Nephrology,Low,2021-08-31
S00266,HCP,Mexico,Endocrinology,Low,2021-05-15
S00267,HCP,India,Nephrology,Low,2023-07-31
S00268,HCP,France,Hematology,Low,2022-08-30
S00269,HCP,Italy,Primary Care,Low,2021-11-08
S00270,HCP,Japan,Infectious Disease,Low,2023-05-01
S00271,HCO,United States,Organization,Low,2021-02-03
S00272,HCP,United States,Endocrinology,Low,2021-12-04
S00273,HCO,Mexico,Organization,Low,2022-07-13
S00274,HCP,India,Infectious Disease,Medium,2021-06-25
S00275,HCO,Italy,Organization,High,2022-11-20
S00276,HCP,Germany,Primary Care,Low,2022-07-26
S00277,HCO,Brazil,Organization,Low,2021-09-26
S00278,HCP,India,Primary Care,High,2021-07-13
S00279,HCO,United States,Organization,Medium,2023-11-27
S00280,HCP,Brazil,Dermatology,Medium,2022-02-16
S00281,HCP,Mexico,Dermatology,Medium,2023-12-13
S00282,HCP,France,Ophthalmology,Medium,2023-02-15
S00283,HCP,United States,Infectious Disease,Low,2022-08-08
S00284,HCP,Mexico,Oncology,High,2022-11-28
S00285,HCP,Mexico,Endocrinology,Low,2022-03-19
S00286,HCO,United Kingdom,Organization,Low,2021-05-05
S00287,HCO,United Kingdom,Organization,Medium,2022-09-18
S00288,HCO,Brazil,Organization,High,2021-09-20
S00289,HCP,Brazil,Neurology,Medium,2022-01-05
S00290,HCO,Japan,Organization,Low,2021-08-31
S00291,HCO,Italy,Organization,Medium,2023-11-12
S00292,HCO,India,Organization,Medium,2022-06-06
S00293,HCP,Mexico,Rheumatology,Low,2023-08-05
S00294,HCP,United Kingdom,Neurology,Medium,2023-02-22
S00295,HCP,Brazil,Hematology,Medium,2022-06-11
S00296,HCP,Mexico,Dermatology,Low,2023-03-03
S00297,HCO,Canada,Organization,Medium,2022-02-19
S00298,HCP,Canada,Oncology,Medium,2021-09-16
S00299,HCO,Japan,Organization,Low,2021-01-19
S00300,HCP,India,Cardiology,High,2021-04-04
S00301,HCO,Brazil,Organization,Low,2022-10-15
S00302,HCO,Mexico,Organization,Low,2022-04-29
S00303,HCP,Japan,Psychiatry,Medium,2021-04-14
S00304,HCP,United Kingdom,Psychiatry,Medium,2023-04-13
S00305,HCP,India,Hematology,Low,2021-01-20
S00306,HCO,India,Organization,Low,2021-04-03
S00307,HCP,Mexico,Infectious Disease,,2023-12-28
S00308,HCP,Mexico,Pediatrics,Low,2021-11-19
S00309,HCP,Mexico,Pulmonology,Low,2021-08-08
S00310,HCO,Germany,Organization,Medium,2021-04-15
S00311,HCP,Germany,Pediatrics,Medium,2021-08-01
S00312,HCP,United States,Neurology,Low,2023-11-16
S00313,HCP,France,Dermatology,Low,2021-08-18
S00314,HCP,United Kingdom,Dermatology,Medium,2021-10-01
S00315,HCP,Italy,Endocrinology,Medium,2021-06-10
S00316,HCP,Canada,Hematology,,2022-03-17
S00317,HCP,France,Nephrology,Low,2023-04-08
S00318,HCP,United States,Neurology,Medium,2022-12-28
S00319,HCP,Italy,Cardiology,Low,2022-04-06
S00320,HCP,United States,Rheumatology,Low,2022-03-16
S00321,HCP,Germany,Nephrology,Low,2023-09-04
S00322,HCP,Canada,Gastroenterology,Low,2021-09-23
S00323,HCP,Canada,Nephrology,High,2021-01-15
S00324,HCP,United Kingdom,Pediatrics,,2021-12-22
S00325,HCO,United States,Organization,Medium,2023-09-07
S00326,HCP,India,Infectious Disease,Medium,2021-11-02
S00327,HCP,Japan,Oncology,Low,2021-03-25
S00328,HCP,France,Pulmonology,Medium,2021-01-15
S00329,HCP,Canada,Neurology,Low,2022-04-08
S00330,HCP,Canada,Infectious Disease,Low,2022-08-07
S00331,HCP,India,Psychiatry,Low,2021-10-22
S00332,HCP,United Kingdom,Dermatology,Low,2022-06-21
S00333,HCP,Italy,Hematology,Low,2022-09-01
S00334,HCP,India,Neurology,Low,2021-07-19
S00335,HCP,Brazil,Endocrinology,Medium,2022-01-28
S00336,HCP,Japan,Hematology,Low,2022-05-31
S00337,HCP,India,Psychiatry,Low,2021-11-03
S00338,HCP,France,Primary Care,,2021-08-24
S00339,HCP,United Kingdom,Oncology,Low,2023-04-30
S00340,HCO,India,Organization,Medium,2023-08-01
S00341,HCP,Brazil,Neurology,Low,2021-04-10
S00342,HCP,United Kingdom,Pediatrics,Low,2022-02-04
S00343,HCP,Germany,Gastroenterology,Low,2021-01-04
S00344,HCP,Brazil,Nephrology,Low,2021-01-26
S00345,HCO,United Kingdom,Organization,Medium,2021-03-29
S00346,HCP,France,Gastroenterology,Low,2023-09-30
S00347,HCP,Brazil,Pulmonology,Medium,2021-05-19
S00348,HCO,Brazil,Organization,Low,2021-03-26
S00349,HCO,France,Organization,Medium,2022-10-06
S00350,HCP,India,Psychiatry,Medium,2021-07-04
S00351,HCP,United States,Gastroenterology,Low,2023-05-29
S00352,HCP,India,Endocrinology,Low,2022-09-15
S00353,HCP,Mexico,Primary Care,Medium,2022-10-27
S00354,HCP,United States,Nephrology,Medium,2023-01-26
S00355,HCP,Germany,Pediatrics,Low,2022-06-30
S00356,HCP,Canada,Pulmonology,Low,2023-01-10
S00357,HCP,United Kingdom,Rheumatology,Low,2023-12-10
S00358,HCP,Canada,Pediatrics,Low,2022-07-29
S00359,HCP,Italy,Primary Care,Low,2021-10-22
S00360,HCP,Italy,Dermatology,Medium,2021-12-01
S00361,HCP,Brazil,Oncology,Low,2022-10-17
S00362,HCP,India,Rheumatology,Low,2021-11-24
S00363,HCP,Italy,Hematology,Medium,2021-03-22
S00364,HCP,Mexico,Hematology,Medium,2022-08-04
S00365,HCP,India,Ophthalmology,Low,2021-02-26
S00366,HCP,Mexico,Primary Care,Low,2021-11-01
S00367,HCP,India,Rheumatology,Low,2023-01-31
S00368,HCP,Mexico,Primary Care,Low,2023-04-19
S00369,HCP,Mexico,Hematology,Low,2022-08-23
S00370,HCP,India,Gastroenterology,Low,2021-07-20
S00371,HCP,Brazil,Dermatology,Low,2023-07-26
S00372,HCP,France,Pediatrics,Low,2021-09-02
S00373,HCP,United Kingdom,Nephrology,Low,2022-02-11
S00374,HCP,France,Endocrinology,Low,2022-12-18
S00375,HCP,France,Nephrology,Medium,2021-05-20
S00376,HCP,Germany,Nephrology,Medium,2022-02-10
S00377,HCP,Japan,Nephrology,Medium,2021-01-30
S00378,HCP,Canada,Primary Care,Low,2023-03-23
S00379,HCP,Canada,Oncology,Low,2022-12-01
S00380,HCP,Italy,Primary Care,Low,2023-12-21
S00381,HCP,United Kingdom,Infectious Disease,Low,2022-08-21
S00382,HCP,United States,Pulmonology,Low,2021-12-09
S00383,HCP,Mexico,Gastroenterology,Low,2023-11-28
S00384,HCP,Canada,Nephrology,Medium,2022-01-05
S00385,HCP,United States,Nephrology,Medium,2021-09-05
S00386,HCP,Italy,Infectious Disease,Low,2023-10-04
S00387,HCP,United States,Nephrology,High,2021-11-17
S00388,HCO,Mexico,Organization,Low,2022-05-07
S00389,HCP,France,Psychiatry,Low,2021-05-07
S00390,HCP,Japan,Primary Care,Low,2021-03-16
S00391,HCO,Mexico,Organization,Low,2022-11-10
S00392,HCP,Mexico,Cardiology,Medium,2023-09-09
S00393,HCP,Mexico,Oncology,Medium,2022-04-25
S00394,HCP,India,Psychiatry,High,2021-09-28
S00395,HCO,Canada,Organization,Low,2022-11-15
S00396,HCP,Canada,Ophthalmology,Low,2022-01-03
S00397,HCP,India,Psychiatry,High,2021-03-17
S00398,HCP,India,Pediatrics,Medium,2021-12-02
S00399,HCP,France,Hematology,High,2022-02-25
S00400,HCP,United Kingdom,Pediatrics,Low,2022-10-02
S00401,HCP,Mexico,Pulmonology,Low,2021-06-26
S00402,HCP,Italy,Nephrology,Low,2023-06-24
S00403,HCO,Italy,Organization,Low,2021-12-24
S00404,HCP,Brazil,Oncology,Low,2021-04-29
S00405,HCP,United Kingdom,Ophthalmology,Low,2021-03-29
S00406,HCO,United States,Organization,Medium,2023-09-28
S00407,HCP,Canada,Endocrinology,Low,2022-03-10
S00408,HCP,Canada,Endocrinology,Medium,2023-11-26
S00409,HCP,United States,Pediatrics,Medium,2023-03-29
S00410,HCP,Japan,Nephrology,Medium,2023-05-30
S00411,HCP,Japan,Dermatology,Low,2021-08-18
S00412,HCO,Japan,Organization,Low,2021-08-12
S00413,HCO,Canada,Organization,Low,2023-11-01
S00414,HCP,Brazil,Gastroenterology,Low,2022-05-16
S00415,HCP,France,Nephrology,Medium,2022-01-03
S00416,HCP,Brazil,Infectious Disease,High,2022-12-01
S00417,HCO,United Kingdom,Organization,Medium,2022-02-02
S00418,HCO,United Kingdom,Organization,Low,2021-02-23
S00419,HCP,France,Ophthalmology,Low,2023-07-09
S00420,HCP,India,Ophthalmology,Low,2022-12-02
S00421,HCO,Japan,Organization,High,2022-10-14
S00422,HCP,France,Gastroenterology,Low,2023-10-18
S00423,HCO,India,Organization,Low,2023-04-12
S00424,HCP,United States,Oncology,Medium,2022-10-04
S00425,HCP,Mexico,Endocrinology,Low,2022-01-14
S00426,HCP,Japan,Endocrinology,Medium,2021-12-28
S00427,HCP,Japan,Cardiology,High,2021-09-03
S00428,HCP,United States,Hematology,Low,2023-08-11
S00429,HCP,Canada,Oncology,Medium,2021-07-31
S00430,HCP,Italy,Cardiology,Low,2021-01-04
S00431,HCP,Canada,Oncology,Medium,2022-12-02
S00432,HCP,Japan,Cardiology,Medium,2021-02-17
S00433,HCP,Canada,Endocrinology,Low,2021-05-29
S00434,HCP,United States,Dermatology,Medium,2021-07-25
S00435,HCP,France,Oncology,Low,2022-06-12
S00436,HCP,Mexico,Gastroenterology,Low,2021-02-03
S00437,HCP,United Kingdom,Rheumatology,High,2023-09-15
S00438,HCP,United States,Neurology,Low,2021-01-31
S00439,HCP,United States,Oncology,Low,2021-06-11
S00440,HCP,Germany,Psychiatry,Medium,2022-11-30
S00441,HCP,France,Gastroenterology,Low,2022-04-08
S00442,HCP,France,Pediatrics,Low,2021-12-30
S00443,HCP,Japan,Nephrology,Low,2023-05-12
S00444,HCP,Japan,Dermatology,Low,2022-03-15
S00445,HCO,Italy,Organization,Low,2021-12-12
S00446,HCP,France,Hematology,Low,2022-05-24
S00447,HCP,Italy,Pediatrics,Low,2021-03-05
S00448,HCO,Mexico,Organization,Low,2021-05-23
S00449,HCP,Mexico,Nephrology,Low,2022-08-28
S00450,HCP,India,Ophthalmology,,2021-07-03
S00451,HCO,Mexico,Organization,Low,2023-07-16
S00452,HCP,Japan,Nephrology,Low,2021-05-31
S00453,HCP,Germany,Oncology,Low,2021-10-29
S00454,HCP,France,Neurology,Low,2022-04-08
S00455,HCP,Mexico,Pulmonology,Low,2023-12-04
S00456,HCP,India,Infectious Disease,Low,2023-01-28
S00457,HCP,United States,Ophthalmology,Low,2022-08-20
S00458,HCP,India,Nephrology,High,2022-08-09
S00459,HCP,Germany,Rheumatology,Low,2023-05-30
S00460,HCO,France,Organization,Low,2021-01-03
S00461,HCP,Canada,Infectious Disease,Low,2022-10-14
S00462,HCP,Germany,Pediatrics,Low,2021-08-09
S00463,HCO,India,Organization,Low,2023-07-19
S00464,HCP,France,Neurology,Low,2023-10-03
S00465,HCP,Germany,Gastroenterology,Low,2022-01-18
S00466,HCP,Mexico,Dermatology,,2023-11-24
S00467,HCP,United States,Infectious Disease,Low,2023-07-13
S00468,HCP,United Kingdom,Nephrology,Low,2022-03-20
S00469,HCP,Japan,Primary Care,Low,2021-12-09
S00470,HCP,Japan,Endocrinology,High,2021-01-15
S00471,HCP,Japan,Psychiatry,Low,2022-09-13
S00472,HCP,Germany,Hematology,,2022-10-03
S00473,HCP,Mexico,Gastroenterology,Low,2021-09-25
S00474,HCO,Brazil,Organization,Medium,2021-07-21
S00475,HCP,France,Gastroenterology,Low,2021-03-13
S00476,HCP,Italy,Dermatology,Medium,2022-12-11
S00477,HCP,United States,Primary Care,Low,2023-01-19
S00478,HCP,United Kingdom,Ophthalmology,Low,2023-06-26
S00479,HCP,Brazil,Psychiatry,Medium,2022-08-15
S00480,HCP,United Kingdom,Rheumatology,Medium,2021-09-30
S00481,HCP,Germany,Neurology,Medium,2021-06-17
S00482,HCP,Japan,Gastroenterology,Low,2021-06-12
S00483,HCP,United Kingdom,Endocrinology,Medium,2023-08-21
S00484,HCP,France,Ophthalmology,High,2023-11-05
S00485,HCP,Germany,Pulmonology,Low,2022-02-16
S00486,HCO,Mexico,Organization,Low,2022-03-01
S00487,HCO,United Kingdom,Organization,Medium,2023-07-13
S00488,HCP,Brazil,Gastroenterology,Low,2021-10-09
S00489,HCP,Brazil,Oncology,Low,2023-10-14
S00490,HCP,France,Primary Care,Low,2021-07-30
S00491,HCP,Canada,Primary Care,Low,2023-06-13
S00492,HCP,Canada,Hematology,Low,2021-11-29
S00493,HCO,United States,Organization,Medium,2023-11-16
S00494,HCP,Brazil,Nephrology,Medium,2022-03-17
